mineral_name,rruff_chemistry,ima_chemistry,chemistry_elements
Kieserite,MgS^6+^O_4_·H_2_O,Mg(SO<sub>4</sub>)·H<sub>2</sub>O,Mg S O H
Kimuraite-(Y),CaY_2_(CO_3_)_4_·6H_2_O,CaY<sub>2</sub>(CO<sub>3</sub>)<sub>4</sub>·6H<sub>2</sub>O,Ca Y C O H
Kingite,Al_3_(PO_4_)_2_F_2_(OH)·7H_2_O,Al<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>(OH)·7H<sub>2</sub>O,Al P O F H
Kingsmountite,Ca_3_Mn^2+^Fe^2+^Al_4_(PO_4_)_6_(OH)_4_·12H_2_O,Ca<sub>3</sub>MnFe<sup>2+</sup>Al<sub>4</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>4</sub>·12H<sub>2</sub>O,Ca Mn Fe Al P O H
Kinichilite,Mg_0.5_Mn^2+^Fe^3+^(Te^4+^O_3_)_3_·4.5H_2_O,Mg<sub>0.5</sub>Mn<sup>2+</sup>Fe<sup>3+</sup>(Te<sup>4+</sup>O<sub>3</sub>)<sub>3</sub>·4.5H<sub>2</sub>O,Mg Mn Fe Te O H
Kinoite,Ca_2_Cu^2+^_2_Si_3_O_10_·2H_2_O,Ca<sub>2</sub>Cu<sub>2</sub>Si<sub>3</sub>O<sub>10</sub>·2H<sub>2</sub>O,Ca Cu Si O H
Kipushite,Cu^2+^_6_(PO_4_)_2_(OH)_6_·H_2_O,Cu<sub>6</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·H<sub>2</sub>O,Cu P O H
Kittatinnyite,Ca_2_Mn^2+^Mn^3+^_2_(SiO_4_)_2_(OH)_4_·9H_2_O,Ca<sub>2</sub>Mn<sup>2+</sup>Mn<sup>3+</sup><sub>2</sub>(SiO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·9H<sub>2</sub>O,Ca Mn Si O H
Klajite,Mn^2+^Cu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·9H_2_O,MnCu<sub>4</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)<sub>2</sub>·9H<sub>2</sub>O,Mn Cu As O H
Kleemanite,Zn^2+^Al_2_(P^5+^O_4_)_2_(OH)_2_·3H_2_O,ZnAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·3H<sub>2</sub>O,Zn Al P O H
Kobokoboite,Al_6_(PO_4_)_4_(OH)_6_·11H_2_O,Al<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>6</sub>·11H<sub>2</sub>O,Al P O H
Kobyashevite,Cu^2+^_5_(S^6+^O_4_)_2_(OH)_6_·4H_2_O,Cu<sub>5</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·4H<sub>2</sub>O,Cu S O H
Kochsandorite,CaAl_2_(CO_3_)_2_(OH)_4_·H_2_O,CaAl<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>·H<sub>2</sub>O,Ca Al C O H
Kokinosite,Na_2_Ca_2_(V^5+^_10_O_28_)·24H_2_O,Na<sub>2</sub>Ca<sub>2</sub>(V<sub>10</sub>O<sub>28</sub>)·24H<sub>2</sub>O,Na Ca V O H
Koktaite,(N^3-^H_4_)_2_Ca(S^6+^O_4_)_2_·H_2_O,(NH<sub>4</sub>)<sub>2</sub>Ca(SO<sub>4</sub>)<sub>2</sub>·H<sub>2</sub>O,N H Ca S O
Kolbeckite,Sc^3+^P^5+^O_4_·2H_2_O,Sc(PO<sub>4</sub>)·2H<sub>2</sub>O,Sc P O H
Kolfanite,Ca_2_Fe^3+^_3_O_2_(As^5+^O_4_)_3_·2H_2_O,Ca<sub>2</sub>Fe<sup>3+</sup><sub>3</sub>O<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>·2H<sub>2</sub>O,Ca Fe O As H
Kollerite,(N^3-^H_4_)_2_Fe^3+^(S^4+^O_3_)_2_(OH)·H_2_O,(NH<sub>4</sub>)<sub>2</sub>Fe<sup>3+</sup>(SO<sub>3</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O,N H Fe S O
Komkovite,BaZr^4+^Si_3_O_9_·3H_2_O,BaZrSi<sub>3</sub>O<sub>9</sub>·3H<sub>2</sub>O,Ba Zr Si O H
Koninckite,Fe^3+^PO_4_·3H_2_O,Fe<sup>3+</sup>(PO<sub>4</sub>)·3H<sub>2</sub>O,Fe P O H
Konyaite,Na_2_Mg(S^6+^O_4_)_2_·5H_2_O,Na<sub>2</sub>Mg(SO<sub>4</sub>)<sub>2</sub>·5H<sub>2</sub>O,Na Mg S O H
Koritnigite,Zn^2+^(As^5+^O_3_OH)·H_2_O,Zn(AsO<sub>3</sub>OH)·H<sub>2</sub>O,Zn As O H
Kornelite,Fe^3+^_2_(S^6+^O_4_)_3_·7H_2_O,Fe<sup>3+</sup><sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>·7H<sub>2</sub>O (?),Fe S O H
Korobitsynite,"(Na,[box])_4_Ti^4+^_2_(Si_4_O_12_)(O,OH)_2_·4H_2_O","(Na,[box])<sub>4</sub>Ti<sub>2</sub>(Si<sub>4</sub>O<sub>12</sub>)(O,OH)<sub>2</sub>·4H<sub>2</sub>O",Na Ti Si O H
Korshunovskite,Mg_2_Cl(OH)_3_·4H_2_O,Mg<sub>2</sub>Cl(OH)<sub>3</sub>·4H<sub>2</sub>O,Mg Cl O H
Kostylevite,K_2_Zr^4+^Si_3_O_9_·H_2_O,K<sub>2</sub>ZrSi<sub>3</sub>O<sub>9</sub>·H<sub>2</sub>O,K Zr Si O H
Kottenheimite,Ca_3_Si(S^6+^O_4_)_2_(OH)_6_·12H_2_O,Ca<sub>3</sub>Si(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·12H<sub>2</sub>O,Ca Si S O H
Kottigite,Zn^2+^_3_(As^5+^O_4_)_2_·8H_2_O,Zn<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Zn As O H
Kovdorskite,Mg_2_PO_4_(OH)·3H_2_O,Mg<sub>2</sub>(PO<sub>4</sub>)(OH)·3H<sub>2</sub>O,Mg P O H
Krasnoite,Ca_3_Al_7.7_Si_3_P_4_O_23.5_(OH)_12.1_F_2_·8H_2_O,Ca<sub>3</sub>Al<sub>7.7</sub>Si<sub>3</sub>P<sub>4</sub>O<sub>22.9</sub>(OH)<sub>13.3</sub>F<sub>2</sub>·8H<sub>2</sub>O,Ca Al Si P O H F
Krasnovite,"Ba(Al,Mg)(PO_4_,CO_3_)(OH)_2_·H_2_O","Ba(Al,Mg)(PO<sub>4</sub>,CO<sub>3</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O",Ba Al Mg P O C H
Krausite,KFe^3+^(S^6+^O_4_)_2_·H_2_O,KFe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub>·H<sub>2</sub>O,K Fe S O H
Krauskopfite,BaSi_2_O_5_·3H_2_O,BaSi<sub>2</sub>O<sub>5</sub>·3H<sub>2</sub>O,Ba Si O H
Krautite,Mn^2+^(As^5+^O_3_OH)·H_2_O,Mn(AsO<sub>3</sub>OH)·H<sub>2</sub>O,Mn As O H
Kremersite,(N^3-^H_4_)_2_Fe^3+^Cl_5_·H_2_O,(NH<sub>4</sub>)<sub>2</sub>Fe<sup>3+</sup>Cl<sub>5</sub>·H<sub>2</sub>O,N H Fe Cl O
Kribergite,Al_5_(PO_4_)_3_(S^6+^O_4_)(OH)_4_·4H_2_O,Al<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>·4H<sub>2</sub>O,Al P O S H
Krohnkite,Na_2_Cu^2+^(S^6+^O_4_)_2_·2H_2_O,Na<sub>2</sub>Cu(SO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Na Cu S O H
Kroupaite,KPb^2+^_0.5_[(U^6+^O_2_)_8_O_4_(OH)_10_]·10H_2_O,KPb<sub>0.5</sub>[(UO<sub>2</sub>)<sub>8</sub>O<sub>4</sub>(OH)<sub>10</sub>]·10H<sub>2</sub>O,K Pb U O H
Kruijenite,Ca_4_Al_4_(S^6+^O_4_)F_2_(OH)_16_·2H_2_O,Ca<sub>4</sub>Al<sub>4</sub>(SO<sub>4</sub>)F<sub>2</sub>(OH)<sub>16</sub>·2H<sub>2</sub>O,Ca Al S O F H
Ktenasite,"(Cu^2+^,Zn^2+^)_5_(S^6+^O_4_)_2_(OH)_6_·6H_2_O","(Cu,Zn)<sub>5</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·6H<sub>2</sub>O",Cu Zn S O H
Kukisvumite,Na_6_Zn^2+^Ti^4+^_4_O_4_(SiO_3_)_8_·4H_2_O,Na<sub>6</sub>ZnTi<sub>4</sub>O<sub>4</sub>(SiO<sub>3</sub>)<sub>8</sub>·4H<sub>2</sub>O,Na Zn Ti O Si H
Kummerite,Mn^2+^Fe^3+^Al(PO_4_)_2_(OH)_2_·8H_2_O,Mn<sup>2+</sup>Fe<sup>3+</sup>Al(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Mn Fe Al P O H
Kunatite,Cu^2+^Fe^3+^_2_(P^5+^O_4_)_2_(OH)_2_·4H_2_O,CuFe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,Cu Fe P O H
Kurgantaite,CaSrB_5_O_9_Cl·H_2_O,CaSrB<sub>5</sub>O<sub>9</sub>Cl·H<sub>2</sub>O,Ca Sr B O Cl H
Kurnakovite,MgB_3_O_3_(OH)_5_·5H_2_O,MgB<sub>3</sub>O<sub>3</sub>(OH)<sub>5</sub>·5H<sub>2</sub>O,Mg B O H
Kurumsakite,Zn^2+^_8_Al_8_V^5+^_2_Si_5_O_35_·27H_2_O,Zn<sub>8</sub>Al<sub>8</sub>V<sup>5+</sup><sub>2</sub>Si<sub>5</sub>O<sub>35</sub>·27H<sub>2</sub>O (?),Zn Al V Si O H
Kuzelite,Ca_4_Al_2_(OH)_12_(S^6+^O_4_)·6H_2_O,Ca<sub>4</sub>Al<sub>2</sub>(OH)<sub>12</sub>(SO<sub>4</sub>)·6H<sub>2</sub>O,Ca Al O H S
Kyrgyzstanite,Zn^2+^Al_4_S^6+^O_4_(OH)_12_·3H_2_O,ZnAl<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>12</sub>·3H<sub>2</sub>O,Zn Al S O H
Lahnsteinite,Zn^2+^_4_(S^6+^O_4_)(OH)_6_·3H_2_O,Zn<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>6</sub>·3H<sub>2</sub>O,Zn S O H
Lakebogaite,NaCaFe^3+^_2_H(U^6+^O_2_)_2_(PO_4_)_4_(OH)_2_·8H_2_O,NaCaFe<sub>2</sub>H(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Na Ca Fe H U O P
Lalondeite,"(Na,Ca)_6_(Ca,Na)_3_Si_16_O_38_(F,OH)_2_·3H_2_O","(Na,Ca)<sub>6</sub>(Ca,Na)<sub>3</sub>Si<sub>16</sub>O<sub>38</sub>(F,OH)<sub>2</sub>·3H<sub>2</sub>O",Na Ca Si O F H
Landesite,Mn^2+^_9_Fe^3+^_3_(PO_4_)_8_(OH)_3_·9H_2_O,Mn<sup>2+</sup><sub>9</sub>Fe<sup>3+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>8</sub>(OH)<sub>3</sub>·9H<sub>2</sub>O,Mn Fe P O H
Langbanshyttanite,Pb^2+^_2_Mn^2+^_2_Mg(As^5+^O_4_)_2_(OH)_4_·6H_2_O,Pb<sub>2</sub>Mn<sub>2</sub>Mg(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O,Pb Mn Mg As O H
Langite,Cu^2+^_4_S^6+^O_4_(OH)_6_·2H_2_O,Cu<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>6</sub>·2H<sub>2</sub>O,Cu S O H
Lanmuchangite,Tl^1+^Al(S^6+^O_4_)_2_·12H_2_O,TlAl(SO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O,Tl Al S O H
Lannonite,HCa_4_Mg_2_Al_4_(S^6+^O_4_)_8_F_9_·32H_2_O,HCa<sub>4</sub>Mg<sub>2</sub>Al<sub>4</sub>(SO<sub>4</sub>)<sub>8</sub>F<sub>9</sub>·32H<sub>2</sub>O,H Ca Mg Al S O F
Lansfordite,MgCO_3_·5H_2_O,Mg(CO<sub>3</sub>)·5H<sub>2</sub>O,Mg C O H
Lanthanite-(Ce),Ce_2_(CO_3_)_3_·8H_2_O,Ce<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>·8H<sub>2</sub>O,Ce C O H
Lanthanite-(La),La_2_(CO_3_)_3_·8H_2_O,La<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>·8H<sub>2</sub>O,La C O H
Lanthanite-(Nd),Nd_2_(CO_3_)_3_·8H_2_O,Nd<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>·8H<sub>2</sub>O,Nd C O H
Lapeyreite,Cu^2+^_3_O[As^5+^O_3_(OH)]_2_·H_2_O,Cu<sub>3</sub>O[AsO<sub>3</sub>(OH)]<sub>2</sub>·H<sub>2</sub>O,Cu O As H
Laplandite-(Ce),Na_4_Ce^3+^Ti^4+^P^5+^Si_7_O_22_·5H_2_O,Na<sub>4</sub>CeTiPSi<sub>7</sub>O<sub>22</sub>·5H<sub>2</sub>O,Na Ce Ti P Si O H
Larderellite,N^3-^H_4_B_5_O_7_(OH)_2_·H_2_O,(NH<sub>4</sub>)B<sub>5</sub>O<sub>7</sub>(OH)<sub>2</sub>·H<sub>2</sub>O,N H B O
Laueite,Mn^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O,Mn<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Mn Fe P O H
Laumontite,Ca(Si_4_Al_2_)O_12_·4H_2_O,CaAl<sub>2</sub>Si<sub>4</sub>O<sub>12</sub>·4H<sub>2</sub>O,Ca Al Si O H
Lausenite,Fe^3+^_2_(S^6+^O_4_)_3_·5H_2_O,Fe<sup>3+</sup><sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>·5H<sub>2</sub>O,Fe S O H
Lautenthalite,Pb^2+^Cu^2+^_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O,PbCu<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Pb Cu S O H
Lavendulan,NaCaCu^2+^_5_(As^5+^O_4_)_4_Cl·5H_2_O,NaCaCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>Cl·5H<sub>2</sub>O,Na Ca Cu As O Cl H
Lawsonbauerite,Mn^2+^_9_Zn^2+^_4_(S^6+^O_4_)_2_(OH)_22_·8H_2_O,Mn<sup>2+</sup><sub>9</sub>Zn<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>22</sub>·8H<sub>2</sub>O,Mn Zn S O H
Lawsonite,CaAl_2_Si_2_O_7_(OH)_2_·H_2_O,CaAl<sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,Ca Al Si O H
Lazarenkoite,CaFe^3+^As^3+^_3_O_7_·3H_2_O,CaFe<sup>3+</sup>As<sup>3+</sup><sub>3</sub>O<sub>7</sub>·3H<sub>2</sub>O,Ca Fe As O H
Lazaridisite,(Cd^2+^S^6+^O_4_)_3_·8H_2_O,Cd<sub>3</sub>(SO<sub>4</sub>)<sub>3</sub>·8H<sub>2</sub>O,Cd S O H
Lecoqite-(Y),Na_3_Y(CO_3_)_3_·6H_2_O,Na<sub>3</sub>Y(CO<sub>3</sub>)<sub>3</sub>·6H<sub>2</sub>O,Na Y C O H
Leesite,K(H_2_O)_2_[(U^6+^O_2_)_4_O_2_(OH)_5_]·3H_2_O,K(H<sub>2</sub>O)<sub>2</sub>[(UO<sub>2</sub>)<sub>4</sub>O<sub>2</sub>(OH)<sub>5</sub>]·3H<sub>2</sub>O,K H O U
Legrandite,Zn^2+^_2_As^5+^O_4_(OH)·H_2_O,Zn<sub>2</sub>(AsO<sub>4</sub>)(OH)·H<sub>2</sub>O,Zn As O H
Lehnerite,Mn^2+^(UO_2_)_2_(PO_4_)_2_·8H_2_O,Mn<sup>2+</sup>(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Mn U O P H
Leightonite,K_2_Ca_2_Cu^2+^(S^6+^O_4_)_4_·2H_2_O,K<sub>2</sub>Ca<sub>2</sub>Cu(SO<sub>4</sub>)<sub>4</sub>·2H<sub>2</sub>O,K Ca Cu S O H
Leisingite,Cu^2+^Mg_2_Te^6+^O_6_·6H_2_O,CuMg<sub>2</sub>Te<sup>6+</sup>O<sub>6</sub>·6H<sub>2</sub>O,Cu Mg Te O H
Lemanskiite,NaCaCu^2+^_5_(As^5+^O_4_)_4_Cl·3H_2_O,NaCaCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>Cl·3H<sub>2</sub>O,Na Ca Cu As O Cl H
Lemmleinite-K,"Na_4_K_8_Ti^4+^_8_(Si_4_O_12_)_4_(O,OH)_8_·8H_2_O","Na<sub>4</sub>K<sub>8</sub>Ti<sub>8</sub>(Si<sub>4</sub>O<sub>12</sub>)<sub>4</sub>(OH,O)<sub>8</sub>·8H<sub>2</sub>O",Na K Ti Si O H
Lennilenapeite,"K_7_(Mg,Mn^2+^,Fe^2+^,Zn^2+^)_48_(Si,Al)_72_(O,OH)_216_·16H_2_O","K<sub>7</sub>(Mg,Mn<sup>2+</sup>,Fe<sup>2+</sup>,Zn)<sub>48</sub>(Si,Al)<sub>72</sub>(O,OH)<sub>216</sub>·16H<sub>2</sub>O",K Mg Mn Fe Zn Si Al O H
Lenoblite,V^4+^_2_O_4_·2H_2_O,V<sup>4+</sup><sub>2</sub>O<sub>4</sub>·2H<sub>2</sub>O,V O H
Leogangite,Cu^2+^_10_(As^5+^O_4_)_4_S^6+^O_4_(OH)_6_·8H_2_O,Cu<sub>10</sub>(AsO<sub>4</sub>)<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>6</sub>·8H<sub>2</sub>O,Cu As O S H
Leonardsenite,MgAlF_5_·2H_2_O,MgAlF<sub>5</sub>·2H<sub>2</sub>O,Mg Al F H O
Leonite,K_2_Mg(S^6+^O_4_)_2_·4H_2_O,K<sub>2</sub>Mg(SO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,K Mg S O H
Leoszilardite,Na_6_Mg(U^6+^O_2_)_2_(C^4+^O_3_)_6_·6H_2_O,Na<sub>6</sub>Mg(UO<sub>2</sub>)<sub>2</sub>(CO<sub>3</sub>)<sub>6</sub>·6H<sub>2</sub>O,Na Mg U O C H
Lepersonnite-(Gd),CaGd^3+^_2_(U^6+^O_2_)_24_(CO_3_)_8_Si_4_O_28_·60H_2_O,CaGd<sub>2</sub>(UO<sub>2</sub>)<sub>24</sub>(CO<sub>3</sub>)<sub>8</sub>Si<sub>4</sub>O<sub>28</sub>·60H<sub>2</sub>O,Ca Gd U O C Si H
Lepkhenelmite-Zn,"Ba_2_Zn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O","Ba<sub>2</sub>Zn(Ti,Nb)<sub>4</sub>(Si<sub>4</sub>O<sub>12</sub>)<sub>2</sub>(O,OH)<sub>4</sub>·7H<sub>2</sub>O",Ba Zn Ti Nb Si O H
Lermontovite,U^4+^PO_4_(OH)·H_2_O,U<sup>4+</sup>(PO<sub>4</sub>)(OH)·H<sub>2</sub>O,U P O H
Leucophosphite,KFe^3+^_2_(PO_4_)_2_(OH)·2H_2_O,KFe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)·2H<sub>2</sub>O,K Fe P O H
Leucostaurite,Pb^2+^_2_B_5_O_9_Cl·0.5H_2_O,Pb<sub>2</sub>[B<sub>5</sub>O<sub>9</sub>]Cl·0.5H<sub>2</sub>O,Pb B O Cl H
Levinsonite-(Y),YAl(S^6+^O_4_)_2_((C_2_)^6+^O_4_)·12H_2_O,YAl(SO<sub>4</sub>)<sub>2</sub>(C<sub>2</sub>O<sub>4</sub>)·12H<sub>2</sub>O,Y Al S O C H
Levyne-Ca,Ca_3_(Si_12_Al_6_)O_36_·18H_2_O,Ca<sub>3</sub>(Si<sub>12</sub>Al<sub>6</sub>)O<sub>36</sub>·18H<sub>2</sub>O,Ca Si Al O H
Leydetite,Fe^2+^(U^6+^O_2_)(S^6+^O_4_)_2_·11H_2_O,Fe(UO<sub>2</sub>)(SO<sub>4</sub>)<sub>2</sub>·11H<sub>2</sub>O,Fe U O S H
Liebigite,Ca_2_(U^6+^O_2_)(CO_3_)_3_·11H_2_O,Ca<sub>2</sub>(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>·11H<sub>2</sub>O,Ca U O C H
Likasite,Cu^2+^_3_N^5+^O_3_(OH)_5_·2H_2_O,Cu<sub>3</sub>(NO<sub>3</sub>)(OH)<sub>5</sub>·2H<sub>2</sub>O,Cu N O H
Lindackerite,Cu^2+^_5_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·9H_2_O,Cu<sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)<sub>2</sub>·9H<sub>2</sub>O,Cu As O H
Lindbergite,Mn^2+^(C_2_)^6+^O_4_·2H_2_O,Mn(C<sub>2</sub>O<sub>4</sub>)·2H<sub>2</sub>O,Mn C O H
Linekite,K_2_Ca_3_[(U^6+^O_2_)(CO_3_)_3_]_2_·8H_2_O,K<sub>2</sub>Ca<sub>3</sub>[(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>]<sub>2</sub>·8H<sub>2</sub>O,K Ca U O C H
Lintisite,Na_3_LiTi^4+^_2_O_2_(SiO_3_)_4_·2H_2_O,Na<sub>3</sub>LiTi<sub>2</sub>O<sub>2</sub>(SiO<sub>3</sub>)<sub>4</sub>·2H<sub>2</sub>O,Na Li Ti O Si H
Lipuite,KNa_8_Mn^3+^_5_Mg_0.5_(Si_12_O_30_(OH)_4_)(PO_4_)O_2_(OH)_2_·4H_2_O,KNa<sub>8</sub>Mn<sup>3+</sup><sub>5</sub>Mg<sub>0.5</sub>[Si<sub>12</sub>O<sub>30</sub>(OH)<sub>4</sub>](PO<sub>4</sub>)O<sub>2</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,K Na Mn Mg Si O H P
Liroconite,Cu^2+^_2_AlAs^5+^O_4_(OH)_4_·4H_2_O,Cu<sub>2</sub>Al(AsO<sub>4</sub>)(OH)<sub>4</sub>·4H<sub>2</sub>O,Cu Al As O H
Lishizhenite,Zn^2+^Fe^3+^_2_(S^6+^O_4_)_4_·14H_2_O,ZnFe<sup>3+</sup><sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>·14H<sub>2</sub>O,Zn Fe S O H
Liskeardite,"(Al,Fe^3+^)_32_(As^5+^O_4_)_18_(OH)_42_(H_2_O)_22_·52H_2_O","(Al,Fe)<sub>32</sub>(AsO<sub>4</sub>)<sub>18</sub>(OH)<sub>42</sub>(H<sub>2</sub>O)<sub>22</sub>·52H<sub>2</sub>O",Al Fe As O H
Lislkirchnerite,Pb^2+^_6_Al(OH)_8_Cl_2_(N^5+^O_3_)_5_·2H_2_O,Pb<sub>6</sub>Al(OH)<sub>8</sub>Cl<sub>2</sub>(NO<sub>3</sub>)<sub>5</sub>·2H<sub>2</sub>O,Pb Al O H Cl N
Liversidgeite,Zn^2+^_6_(P^5+^O_4_)_4_·7H_2_O,Zn<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>·7H<sub>2</sub>O,Zn P O H
Llantenesite,Cu^2+^_6_Al[Se^6+^O_4_](OH)_12_Cl·3H_2_O,Cu<sub>6</sub>Al[SeO<sub>4</sub>](OH)<sub>12</sub>Cl·3H<sub>2</sub>O,Cu Al Se O H Cl
Lokkaite-(Y),CaY_4_(CO_3_)_7_·9H_2_O,CaY<sub>4</sub>(CO<sub>3</sub>)<sub>7</sub>·9H<sub>2</sub>O,Ca Y C O H
Lonecreekite,N^3-^H_4_Fe^3+^(S^6+^O_4_)_2_·12H_2_O,(NH<sub>4</sub>)Fe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O,N H Fe S O
Lotharmeyerite,CaZn^2+^_2_(As^5+^O_4_)_2_·2H_2_O,CaZn<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Ca Zn As O H
Loughlinite,Na_2_Mg_3_Si_6_O_16_·8H_2_O,Na<sub>2</sub>Mg<sub>3</sub>Si<sub>6</sub>O<sub>16</sub>·8H<sub>2</sub>O,Na Mg Si O H
Lovdarite,K_2_Na_6_Be_4_Si_14_O_36_·9H_2_O,K<sub>2</sub>Na<sub>6</sub>Be<sub>4</sub>Si<sub>14</sub>O<sub>36</sub>·9H<sub>2</sub>O,K Na Be Si O H
Loweite,Na_12_Mg_7_(S^6+^O_4_)_13_·15H_2_O,Na<sub>12</sub>Mg<sub>7</sub>(SO<sub>4</sub>)<sub>13</sub>·15H<sub>2</sub>O,Na Mg S O H
Luddenite,Cu^2+^_2_Pb^2+^_2_Si_5_O_14_·14H_2_O,Cu<sub>2</sub>Pb<sub>2</sub>Si<sub>5</sub>O<sub>14</sub>·14H<sub>2</sub>O,Cu Pb Si O H
Ludlamite,Fe^2+^_3_(PO_4_)_2_·4H_2_O,Fe<sup>2+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Fe P O H
Luneburgite,Mg_3_[B_2_(OH)_6_(PO_4_)_2_]·6H_2_O,Mg<sub>3</sub>[B<sub>2</sub>(OH)<sub>6</sub>(PO<sub>4</sub>)<sub>2</sub>]·6H<sub>2</sub>O,Mg B O H P
Lunokite,MgMn^2+^Al(PO_4_)_2_(OH)·4H_2_O,MgMn<sup>2+</sup>Al(PO<sub>4</sub>)<sub>2</sub>(OH)·4H<sub>2</sub>O,Mg Mn Al P O H
Lusernaite-(Y),"Y_4_Al(CO_3_)_2_(OH,F)_11_·6H_2_O","Y<sub>4</sub>Al(CO<sub>3</sub>)<sub>2</sub>(OH,F)<sub>11</sub>·6H<sub>2</sub>O",Y Al C O H F
Macdonaldite,BaCa_4_Si_16_O_36_(OH)_2_·10H_2_O,BaCa<sub>4</sub>Si<sub>16</sub>O<sub>36</sub>(OH)<sub>2</sub>·10H<sub>2</sub>O,Ba Ca Si O H
Machatschkiite,Ca_6_(As^5+^O_4_)(As^5+^O_3_OH)_3_PO_4_·15H_2_O,Ca<sub>6</sub>(AsO<sub>4</sub>)(AsO<sub>3</sub>OH)<sub>3</sub>(PO<sub>4</sub>)·15H<sub>2</sub>O,Ca As O H P
Magadiite,Na_2_Si_14_O_29_·11H_2_O,Na<sub>2</sub>Si<sub>14</sub>O<sub>29</sub>·11H<sub>2</sub>O,Na Si O H
