mineral_name,element,count
Amblygonite,P,1
Amesite,Al,2
Amesite,H,4
Amesite,Mg,2
Amesite,O,9
Amesite,Si,1
Amicite,Al,4
Amicite,H,10
Amicite,K,2
Amicite,Na,2
Amicite,O,21
Amicite,Si,4
Aminoffite,Be,2
Aminoffite,Ca,3
Aminoffite,H,2
Aminoffite,O,12
Aminoffite,Si,3
Ammineite,Cl,2
Ammineite,Cu,1
Ammineite,H,6
Ammineite,N,2
Ammonioalunite,Al,3
Ammonioalunite,H,10
Ammonioalunite,N,1
Ammonioalunite,O,14
Ammonioalunite,S,2
Ammonioborite,B,15
Ammonioborite,H,28
Ammonioborite,N,3
Ammonioborite,O,32
Ammoniojarosite,Fe,3
Ammoniojarosite,H,10
Ammoniojarosite,N,1
Ammoniojarosite,O,14
Ammoniojarosite,S,2
Ammoniomagnesiovoltaite,Al,1
Ammoniomagnesiovoltaite,Fe,3
Ammoniomagnesiovoltaite,H,44
Ammoniomagnesiovoltaite,Mg,5
Ammoniomagnesiovoltaite,N,2
Ammoniomagnesiovoltaite,O,66
Ammoniomagnesiovoltaite,S,12
Ammoniozippeite,H,10
Ammoniozippeite,N,2
Ammoniozippeite,O,11
Ammoniozippeite,S,1
Ammoniozippeite,U,2
Analcime,Al,1
Analcime,H,2
Analcime,Na,1
Analcime,O,7
Analcime,Si,2
Anandite,Ba,1
Anandite,Fe,4
Anandite,H,1
Anandite,O,11
Anandite,S,1
Anandite,Si,3
Anapaite,Ca,2
Anapaite,Fe,1
Anapaite,H,8
Anapaite,O,12
Anapaite,P,2
Anatase,O,2
Anatase,Ti,1
Anatolyite,Al,1
Anatolyite,As,6
Anatolyite,Ca,0.5
Anatolyite,Fe,1.5
Anatolyite,Mg,1.5
Anatolyite,Na,6.5
Anatolyite,O,24
Ancylite-(Ce),C,2
Ancylite-(Ce),Ce,1
Ancylite-(Ce),H,3
Ancylite-(Ce),O,8
Ancylite-(Ce),Sr,1
Ancylite-(La),C,2
Ancylite-(La),H,3
Ancylite-(La),La,1
Ancylite-(La),O,8
Ancylite-(La),Sr,1
Andalusite,Al,2
Andalusite,O,5
Andalusite,Si,1
Andersonite,C,3
Andersonite,Ca,1
Andersonite,H,71
Andersonite,Na,2
Andersonite,O,46.5
Andersonite,U,1
Andorite IV,Ag,1
Andorite IV,Pb,1
Andorite IV,S,6
Andorite IV,Sb,3
Andorite VI,Ag,1
Andorite VI,Pb,1
Andorite VI,S,6
Andorite VI,Sb,3
Andradite,Ca,3
Andradite,Fe,2
Andradite,O,12
Andradite,Si,3
Andreadiniite,Ag,7
Andreadiniite,Cu,1
Andreadiniite,Hg,1
Andreadiniite,Pb,7
Andreadiniite,S,48
Andreadiniite,Sb,24
Andrianovite,Ca,6
Andrianovite,Ce,0.999999999999999
Andrianovite,H,1.944444444444445
Andrianovite,K,0.999999999999999
Andrianovite,Mn,3
Andrianovite,Na,12
Andrianovite,Nb,1
Andrianovite,O,76.05555555555556
Andrianovite,Si,25
Andrianovite,Sr,0.999999999999999
Andrianovite,Zr,3
Anduoite,As,2
Anduoite,Ru,1
Andychristyite,Cu,1
Andychristyite,H,2
Andychristyite,O,6
Andychristyite,Pb,1
Andychristyite,Te,1
Andyrobertsite,As,5
Andyrobertsite,Cd,1
Andyrobertsite,Cu,5
Andyrobertsite,H,6
Andyrobertsite,K,1
Andyrobertsite,O,22
Angarfite,Fe,5
Angarfite,H,12
Angarfite,Na,1
Angarfite,O,24
Angarfite,P,4
Angelaite,Ag,1
Angelaite,Bi,1
Angelaite,Cu,2
Angelaite,Pb,1
Angelaite,S,4
Anglesite,O,4
Anglesite,Pb,1
Anglesite,S,1
Anhydrite,Ca,1
Anhydrite,O,4
Anhydrite,S,1
Anhydrokainite,Cl,1
Anhydrokainite,K,1
Anhydrokainite,Mg,1
Anhydrokainite,O,4
Anhydrokainite,S,1
Anilite,Cu,7
Anilite,S,4
Ankerite,C,2
Ankerite,Ca,1
Ankerite,Fe,0.5
Ankerite,Mg,0.5
Ankerite,O,6
Ankinovichite,Al,4
Ankinovichite,H,16
Ankinovichite,Ni,1
Ankinovichite,O,20
Ankinovichite,V,2
Annabergite,As,2
Annabergite,H,16
Annabergite,Ni,3
Annabergite,O,16
Annite,Al,1
Annite,Fe,3
Annite,H,2
Annite,K,1
Annite,O,12
Annite,Si,3
Anorpiment,As,2
Anorpiment,S,3
Anorthite,Al,2
Anorthite,Ca,1
Anorthite,O,8
Anorthite,Si,2
Anorthominasragrite,H,10
Anorthominasragrite,O,10
Anorthominasragrite,S,1
Anorthominasragrite,V,1
Ansermetite,H,8
Ansermetite,Mn,1
Ansermetite,O,10
Ansermetite,V,2
Antarcticite,Ca,1
Antarcticite,Cl,2
Antarcticite,H,12
Antarcticite,O,6
Anthoinite,Al,1
Anthoinite,H,3
Anthoinite,O,6
Anthoinite,W,1
Anthonyite,Cu,1
Anthonyite,H,8
Anthonyite,O,5
Anthophyllite,H,2
Anthophyllite,Mg,7
Anthophyllite,O,24
Anthophyllite,Si,8
Antigorite,H,4
Antigorite,Mg,3
Antigorite,O,9
Antigorite,Si,2
Antimonselite,Sb,2
Antimonselite,Se,3
Antimony,Sb,1
Antipinite,C,8
Antipinite,Cu,2
Antipinite,K,1
Antipinite,Na,3
Antipinite,O,16
Antlerite,Cu,3
Antlerite,H,4
Antlerite,O,8
Antlerite,S,1
Antofagastaite,Ca,1
Antofagastaite,H,3
Antofagastaite,Na,2
Antofagastaite,O,9.5
Antofagastaite,S,2
Anyuiite,Au,1
Anyuiite,Pb,2
Anzaite-(Ce),Ce,4
Anzaite-(Ce),Fe,1
Anzaite-(Ce),H,2
Anzaite-(Ce),O,20
Anzaite-(Ce),Ti,6
Apachite,Cu,9
Apachite,H,22
Apachite,O,40
Apachite,Si,10
Apexite,H,18
Apexite,Mg,1
Apexite,Na,1
Apexite,O,13
Apexite,P,1
Aphthitalite,K,3
Aphthitalite,Na,1
Aphthitalite,O,8
Aphthitalite,S,2
Apjohnite,Al,2
Apjohnite,H,44
Apjohnite,Mn,1
Apjohnite,O,38
Apjohnite,S,4
Aplowite,Co,1
Aplowite,H,8
Aplowite,O,8
Aplowite,S,1
Apuanite,Fe,5
Apuanite,O,12
Apuanite,S,1
Apuanite,Sb,4
Aqualite,Ca,6
Aqualite,Cl,1
Aqualite,H,33
Aqualite,K,1.66666666666666
Aqualite,Na,1.66666666666666
Aqualite,O,83
Aqualite,Si,26
Aqualite,Sr,1.66666666666666
Aqualite,Zr,3
Aradite,Ba,1
Aradite,Ca,6
Aradite,F,1
Aradite,O,16
Aradite,Si,1
Aradite,V,3
Aragonite,C,1
Aragonite,Ca,1
Aragonite,O,3
Arakiite,As,3
Arakiite,Fe,2
Arakiite,H,23
Arakiite,Mn,12
Arakiite,O,34
Arakiite,Zn,1
Aramayoite,Ag,3
Aramayoite,Bi,0.5
Aramayoite,S,6
Aramayoite,Sb,2.5
Arangasite,Al,2
Arangasite,F,1
Arangasite,H,18
Arangasite,O,17
Arangasite,P,1
Arangasite,S,1
Aravaipaite,Al,1
Aravaipaite,F,9
Aravaipaite,H,2
Aravaipaite,O,1
Aravaipaite,Pb,3
Aravaite,Ba,2
Aravaite,C,1
Aravaite,Ca,18
Aravaite,F,3
Aravaite,O,40
Aravaite,P,3
Aravaite,Si,6
Arcanite,K,2
Arcanite,O,4
Arcanite,S,1
Archerite,H,2
Archerite,K,1
Archerite,O,4
Archerite,P,1
Arctite,Ba,1
Arctite,Ca,7
Arctite,F,3
Arctite,Na,5
Arctite,O,24
Arctite,P,6
Arcubisite,Ag,6
Arcubisite,Bi,1
Arcubisite,Cu,1
Arcubisite,S,4
Ardaite,Cl,9
Ardaite,Pb,17
Ardaite,S,35
Ardaite,Sb,15
Ardealite,Ca,2
Ardealite,H,9
Ardealite,O,12
Ardealite,P,1
Ardealite,S,1
Ardennite-(As),Al,5
Ardennite-(As),As,1
Ardennite-(As),H,6
Ardennite-(As),Mg,1
Ardennite-(As),Mn,4
Ardennite-(As),O,28
Ardennite-(As),Si,5
Ardennite-(V),Al,5
Ardennite-(V),H,6
Ardennite-(V),Mg,1
Ardennite-(V),Mn,4
Ardennite-(V),O,28
Ardennite-(V),Si,5
Ardennite-(V),V,1
Arfvedsonite,Fe,5
Arfvedsonite,H,2
Arfvedsonite,Na,3
Arfvedsonite,O,24
Arfvedsonite,Si,8
Argandite,H,8
Argandite,Mn,7
Argandite,O,16
Argandite,V,2
Argentobaumhauerite,Ag,1.5
Argentobaumhauerite,As,33.5
Argentobaumhauerite,Pb,22
Argentobaumhauerite,S,72
Argentodufrenoysite,Ag,3
Argentodufrenoysite,As,35
Argentodufrenoysite,Pb,26
Argentodufrenoysite,S,80
Argentojarosite,Ag,1
Argentojarosite,Fe,3
Argentojarosite,H,6
Argentojarosite,O,14
Argentojarosite,S,2
Argentopentlandite,Ag,1
Argentopentlandite,Fe,4
Argentopentlandite,Ni,4
Argentopentlandite,S,8
Argentopyrite,Ag,1
Argentopyrite,Fe,2
Argentopyrite,S,3
Argentotennantite-(Zn),Ag,6
Argentotennantite-(Zn),As,4
Argentotennantite-(Zn),Cu,4
Argentotennantite-(Zn),S,13
Argentotennantite-(Zn),Zn,2
Argutite,Ge,1
Argutite,O,2
Argyrodite,Ag,8
Argyrodite,Ge,1
Argyrodite,S,6
Arhbarite,As,1
Arhbarite,Cu,2
Arhbarite,H,3
Arhbarite,Mg,1
Arhbarite,O,7
Ariegilatite,Ba,1
Ariegilatite,Ca,12
Ariegilatite,F,2
Ariegilatite,O,25
Ariegilatite,P,2
Ariegilatite,Si,4
Armalcolite,Fe,0.5
Armalcolite,Mg,0.5
Armalcolite,O,5
Armalcolite,Ti,2
Armangite,As,18
Armangite,C,1
Armangite,H,4
Armangite,Mn,26
Armangite,O,57
Armbrusterite,H,18
Armbrusterite,K,5
Armbrusterite,Mn,15
Armbrusterite,Na,6
Armbrusterite,O,102
Armbrusterite,Si,36
Armenite,Al,6
Armenite,Ba,1
Armenite,Ca,2
Armenite,H,4
Armenite,O,32
Armenite,Si,9
Armstrongite,Ca,1
Armstrongite,H,4
Armstrongite,O,17
Armstrongite,Si,6
Armstrongite,Zr,1
Arrojadite-(BaFe),Al,1
Arrojadite-(BaFe),Ba,1
Arrojadite-(BaFe),Ca,1
Arrojadite-(BaFe),Fe,14
Arrojadite-(BaFe),H,3
Arrojadite-(BaFe),Na,2
Arrojadite-(BaFe),O,50
Arrojadite-(BaFe),P,12
Arrojadite-(KFe),Al,1
Arrojadite-(KFe),Ca,1
Arrojadite-(KFe),Fe,14
Arrojadite-(KFe),H,3
Arrojadite-(KFe),K,1
Arrojadite-(KFe),Na,3
Arrojadite-(KFe),O,50
Arrojadite-(KFe),P,12
Arrojadite-(KNa),Al,1
Arrojadite-(KNa),Ca,1
Arrojadite-(KNa),Fe,13
Arrojadite-(KNa),H,3
Arrojadite-(KNa),K,1
Arrojadite-(KNa),Na,5
Arrojadite-(KNa),O,50
Arrojadite-(KNa),P,12
Arrojadite-(PbFe),Al,1
Arrojadite-(PbFe),Ca,1
Arrojadite-(PbFe),Fe,14
Arrojadite-(PbFe),H,3
Arrojadite-(PbFe),Na,2
Arrojadite-(PbFe),O,50
Arrojadite-(PbFe),P,12
Arrojadite-(PbFe),Pb,1
Arrojadite-(SrFe),Al,1
Arrojadite-(SrFe),Ca,1
Arrojadite-(SrFe),Fe,14
Arrojadite-(SrFe),H,3
Arrojadite-(SrFe),Na,2
Arrojadite-(SrFe),O,50
Arrojadite-(SrFe),P,12
Arrojadite-(SrFe),Sr,1
Arsenatrotitanite,As,1
Arsenatrotitanite,Na,1
Arsenatrotitanite,O,5
Arsenatrotitanite,Ti,1
Arsenbrackebuschite,As,2
Arsenbrackebuschite,Fe,0.5
Arsenbrackebuschite,H,0.5833333333333339
Arsenbrackebuschite,O,8.416666666666668
Arsenbrackebuschite,Pb,2
Arsenbrackebuschite,Zn,0.5
