mineral_name,rruff_chemistry,chemistry_elements
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ce
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Al
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Fe
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Si
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),O
Allanite-(Ce),CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),H
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Y
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Al
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Fe
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Si
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),O
Allanite-(Y),CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),H
Allargentum,Ag_1-x_Sb_x_ (x=0.09-0.16),Ag
Allargentum,Ag_1-x_Sb_x_ (x=0.09-0.16),Sb
Alleghanyite,Mn^2+^_5_(SiO_4_)_2_(OH)_2_,Mn
Alleghanyite,Mn^2+^_5_(SiO_4_)_2_(OH)_2_,Si
Alleghanyite,Mn^2+^_5_(SiO_4_)_2_(OH)_2_,O
Alleghanyite,Mn^2+^_5_(SiO_4_)_2_(OH)_2_,H
Alloclasite,Co^3+^(AsS)^3-^,Co
Alloclasite,Co^3+^(AsS)^3-^,As
Alloclasite,Co^3+^(AsS)^3-^,S
Allophane,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,Al
Allophane,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,O
Allophane,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,Si
Allophane,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,H
