from,to,element_redox_mineral,max_age,num_localities_mineral,mean_pauling,cov_pauling,element_redox_network,mineral_name,color
Haxonite,Ni,NA,4.62,1,2.0966666666666667,0.18821810603432415,NA,Haxonite,#800080
Haxonite,C,NA,4.62,1,2.0966666666666667,0.18821810603432415,NA,Haxonite,#800080
Hedenbergite,Ca+2,2,4.567609999999999,2,2.0425,0.49811238588990825,2,Hedenbergite,#800080
Hedenbergite,Fe+2,2,4.567609999999999,2,2.0425,0.49811238588990825,2,Hedenbergite,#800080
Hedenbergite,Si+4,4,4.567609999999999,2,2.0425,0.49811238588990825,4,Hedenbergite,#800080
Hedenbergite,O-2,-2,4.567609999999999,2,2.0425,0.49811238588990825,-2,Hedenbergite,#800080
Hematite,Fe+3,3,4.62,5,2.635,0.4320462685807747,3,Hematite,#800080
Hematite,O-2,-2,4.62,5,2.635,0.4320462685807747,-2,Hematite,#800080
Hercynite,Fe+2,2,4.5685,2,2.2933333333333334,0.43566116694016305,2,Hercynite,#800080
Hercynite,Al,NA,4.5685,2,2.2933333333333334,0.43566116694016305,NA,Hercynite,#800080
Hercynite,O-2,-2,4.5685,2,2.2933333333333334,0.43566116694016305,-2,Hercynite,#800080
Hexamolybdenum,Mo,NA,4.7,2,2.1180000000000003,0.07645227053025976,NA,Hexamolybdenum,#800080
Hexamolybdenum,Ru,NA,4.7,2,2.1180000000000003,0.07645227053025976,NA,Hexamolybdenum,#800080
Hexamolybdenum,Fe,NA,4.7,2,2.1180000000000003,0.07645227053025976,NA,Hexamolybdenum,#800080
Hexamolybdenum,Ir,NA,4.7,2,2.1180000000000003,0.07645227053025976,NA,Hexamolybdenum,#800080
Hexamolybdenum,Os,NA,4.7,2,2.1180000000000003,0.07645227053025976,NA,Hexamolybdenum,#800080
Hibonite-(Fe),Fe+2,2,4.567609999999999,1,2.2933333333333334,0.43566116694016305,2,Hibonite-(Fe),#800080
Hibonite-(Fe),Al,NA,4.567609999999999,1,2.2933333333333334,0.43566116694016305,NA,Hibonite-(Fe),#800080
Hibonite-(Fe),O-2,-2,4.567609999999999,1,2.2933333333333334,0.43566116694016305,-2,Hibonite-(Fe),#800080
Hydrobiotite,K+1,1,4,1,1.8728571428571428,0.4392175485479728,1,Hydrobiotite,#800080
Hydrobiotite,Mg+2,2,4,1,1.8728571428571428,0.4392175485479728,2,Hydrobiotite,#800080
Hydrobiotite,Fe+2,2,4,1,1.8728571428571428,0.4392175485479728,2,Hydrobiotite,#800080
Hydrobiotite,Si+4,4,4,1,1.8728571428571428,0.4392175485479728,4,Hydrobiotite,#800080
Hydrobiotite,Al,NA,4,1,1.8728571428571428,0.4392175485479728,NA,Hydrobiotite,#800080
Hydrobiotite,O-2,-2,4,1,1.8728571428571428,0.4392175485479728,-2,Hydrobiotite,#800080
Hydrobiotite,H+1,1,4,1,1.8728571428571428,0.4392175485479728,1,Hydrobiotite,#800080
Ilmenite,Fe+2,2,4.567609999999999,8,2.27,0.45091285297503997,2,Ilmenite,#800080
Ilmenite,Ti+4,4,4.567609999999999,8,2.27,0.45091285297503997,4,Ilmenite,#800080
Ilmenite,O-2,-2,4.567609999999999,8,2.27,0.45091285297503997,-2,Ilmenite,#800080
Iron,Fe,NA,4.7,6,1.83,NA,NA,Iron,#800080
Isocubanite,Cu+1,1,4.62,2,2.035,0.1792770156948865,1,Isocubanite,#800080
Isocubanite,Fe+2,2,4.62,2,2.035,0.1792770156948865,2,Isocubanite,#800080
Isocubanite,Fe+3,3,4.62,2,2.035,0.1792770156948865,3,Isocubanite,#800080
Isocubanite,S-2,-2,4.62,2,2.035,0.1792770156948865,-2,Isocubanite,#800080
Jarosite,K+1,1,4,2,2.174,0.44358542158537145,1,Jarosite,#800080
Jarosite,Fe+3,3,4,2,2.174,0.44358542158537145,3,Jarosite,#800080
Jarosite,S+6,6,4,2,2.174,0.44358542158537145,6,Jarosite,#800080
Jarosite,O-2,-2,4,2,2.174,0.44358542158537145,-2,Jarosite,#800080
Jarosite,H+1,1,4,2,2.174,0.44358542158537145,1,Jarosite,#800080
Kamiokite,Fe+2,2,4.567609999999999,1,2.4766666666666666,0.34337736062356905,2,Kamiokite,#800080
Kamiokite,Mo+4,4,4.567609999999999,1,2.4766666666666666,0.34337736062356905,4,Kamiokite,#800080
Kamiokite,O-2,-2,4.567609999999999,1,2.4766666666666666,0.34337736062356905,-2,Kamiokite,#800080
Kirschsteinite,Ca+2,2,4.5685,2,2.0425,0.49811238588990825,2,Kirschsteinite,#800080
Kirschsteinite,Fe+2,2,4.5685,2,2.0425,0.49811238588990825,2,Kirschsteinite,#800080
Kirschsteinite,Si+4,4,4.5685,2,2.0425,0.49811238588990825,4,Kirschsteinite,#800080
Kirschsteinite,O-2,-2,4.5685,2,2.0425,0.49811238588990825,-2,Kirschsteinite,#800080
Lawrencite,Fe+2,2,4.62,1,2.495,0.37693467694513355,2,Lawrencite,#800080
Lawrencite,Cl-1,-1,4.62,1,2.495,0.37693467694513355,-1,Lawrencite,#800080
Lollingite,Fe,NA,4,1,2.005,0.12343509896024524,NA,Lollingite,#800080
Lollingite,As,NA,4,1,2.005,0.12343509896024524,NA,Lollingite,#800080
Mackinawite,Fe,NA,4.62,3,2.1066666666666665,0.19550585786175284,NA,Mackinawite,#800080
Mackinawite,Ni,NA,4.62,3,2.1066666666666665,0.19550585786175284,NA,Mackinawite,#800080
Mackinawite,S,NA,4.62,3,2.1066666666666665,0.19550585786175284,NA,Mackinawite,#800080
Maghemite,Fe+3,3,4.62,2,2.3666666666666667,0.39276081692759046,3,Maghemite,#800080
Maghemite,O-2,-2,4.62,2,2.3666666666666667,0.39276081692759046,-2,Maghemite,#800080
Magnetite,Fe+2,2,4.7,48,2.3666666666666667,0.39276081692759046,2,Magnetite,#800080
Magnetite,Fe+3,3,4.7,48,2.3666666666666667,0.39276081692759046,3,Magnetite,#800080
Magnetite,O-2,-2,4.7,48,2.3666666666666667,0.39276081692759046,-2,Magnetite,#800080
Marcasite,Fe,NA,4,2,2.205,0.2405125106076692,NA,Marcasite,#800080
Marcasite,S,NA,4,2,2.205,0.2405125106076692,NA,Marcasite,#800080
Pentlandite,Ni,NA,4.7,6,2.1066666666666665,0.19550585786175284,NA,Pentlandite,#800080
Pentlandite,Fe,NA,4.7,6,2.1066666666666665,0.19550585786175284,NA,Pentlandite,#800080
Pentlandite,S,NA,4.7,6,2.1066666666666665,0.19550585786175284,NA,Pentlandite,#800080
Pigeonite,Mg+2,2,4.5685,4,1.896,0.49578900702076156,2,Pigeonite,#800080
Pigeonite,Fe+2,2,4.5685,4,1.896,0.49578900702076156,2,Pigeonite,#800080
Pigeonite,Ca+2,2,4.5685,4,1.896,0.49578900702076156,2,Pigeonite,#800080
Pigeonite,Si+4,4,4.5685,4,1.896,0.49578900702076156,4,Pigeonite,#800080
Pigeonite,O-2,-2,4.5685,4,1.896,0.49578900702076156,-2,Pigeonite,#800080
