mineral_name,mineral_id,max_age_locality,min_age_locality,mindat_id,locality_longname,age_type
Ferro-pargasite,1906,4,2.5,22946,"Sigma Mine (Sigma No. 1 Mine), Val D'Or, La Vallée-de-l'Or RCM, Abitibi-Témiscamingue, Québec, Canada",O
Pyrosmalite-(Fe),1907,4,2.5,244258,"Willroy Mine, Gemmell Township, Thunder Bay District, Ontario, Canada",O
Frohbergite,2003,4,2.5,22946,"Sigma Mine (Sigma No. 1 Mine), Val D'Or, La Vallée-de-l'Or RCM, Abitibi-Témiscamingue, Québec, Canada",O
Goethite,2115,4,2.5,251502,"Mount Edgar Osarizawaite Site, Mount Edgar Station, Marble Bar, East Pilbara Shire, Western Australia, Australia",O
Goethite,2115,4,2.5,267325,"Penny West Gold Mine, Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Goethite,2115,4,2.5,244584,"Aldermac Mine, Rouyn-Noranda TE, Abitibi-Témiscamingue, Québec, Canada",O
Goethite,2115,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Greenalite,2150,4.7,0,126090,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",O
Greenalite,2150,4.7,0,126090,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",O
Grunerite,2164,4,2.5,109697,"Pincher Well (Pincher Hill) Prospect, Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Grunerite,2164,4,2.5,109697,"Pincher Well (Pincher Hill) Prospect, Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Haxonite,2220,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Hedenbergite,2227,4.33,4.01,156631,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",O
Hedenbergite,2227,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
Hematite,2239,4,2.5,251502,"Mount Edgar Osarizawaite Site, Mount Edgar Station, Marble Bar, East Pilbara Shire, Western Australia, Australia",O
Hematite,2239,4,2.5,206050,"Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",O
Hematite,2239,4,2.5,14867,"Little Long Lac Mine, Errington Township, Thunder Bay District, Ontario, Canada",O
Hematite,2239,4,2.5,230484,"Roquemaure Jasper Occurrence, Roquemaure, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Hematite,2239,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Hercynite,2254,4.5685,4.5663,31212,"Efremovka Meteorite, Pavlodar, Pavlodar Region, Kazakhstan",O
Hercynite,2254,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
