mineral_name,chemistry_elements
Astrocyanite-(Ce),H
Astrophyllite,K
Astrophyllite,Na
Astrophyllite,Fe
Astrophyllite,Ti
Astrophyllite,Si
Astrophyllite,O
Astrophyllite,H
Astrophyllite,F
Atacamite,Cu
Atacamite,Cl
Atacamite,O
Atacamite,H
Atelestite,Bi
Atelestite,O
Atelestite,As
Atelestite,H
Athabascaite,Cu
Athabascaite,Se
Atheneite,Pd
Atheneite,As
Atheneite,Hg
Atlasovite,Cu
Atlasovite,Fe
Atlasovite,Bi
Atlasovite,O
Atlasovite,S
Atlasovite,K
Atlasovite,Cl
Atokite,Pd
Atokite,Sn
Attakolite,Ca
Attakolite,Mn
Attakolite,Al
Attakolite,H
Attakolite,Si
Attakolite,O
Attakolite,P
Aubertite,Cu
Aubertite,Al
Aubertite,S
Aubertite,O
Aubertite,Cl
Aubertite,H
Augelite,Al
Augelite,P
Augelite,O
Augelite,H
Augite,Ca
Augite,Mg
Augite,Fe
Augite,Si
Augite,O
Aurichalcite,Zn
Aurichalcite,Cu
Aurichalcite,C
Aurichalcite,O
Aurichalcite,H
Auricupride,Cu
Auricupride,Au
Aurorite,Mn
Aurorite,Ag
Aurorite,Ca
Aurorite,O
Aurorite,H
Aurostibite,Au
Aurostibite,Sb
Austinite,Ca
Austinite,Zn
Austinite,As
Austinite,O
Austinite,H
Autunite,Ca
Autunite,U
Autunite,O
Autunite,P
Autunite,H
Averievite,Cu
Averievite,O
Averievite,V
Averievite,Cl
Avicennite,Tl
Avicennite,O
Avogadrite,K
Avogadrite,B
Avogadrite,F
Awaruite,Ni
Awaruite,Fe
Azurite,Cu
Azurite,C
Azurite,O
Azurite,H
Babefphite,Ba
Babefphite,Be
Babefphite,P
Babefphite,O
Babefphite,F
Babingtonite,Ca
Babingtonite,Fe
Babingtonite,Si
Babingtonite,O
Babingtonite,H
Babkinite,Pb
Babkinite,Bi
Babkinite,S
Babkinite,Se
Baddeleyite,Zr
Baddeleyite,O
Bafertisite,Ba
Bafertisite,Fe
Bafertisite,Ti
Bafertisite,Si
Bafertisite,O
Bafertisite,H
Bafertisite,F
Baghdadite,Ca
Baghdadite,Zr
Baghdadite,Si
Baghdadite,O
Bahianite,Al
Bahianite,Sb
Bahianite,O
Bahianite,H
Baileychlore,Zn
Baileychlore,Fe
Baileychlore,Al
Baileychlore,Mg
Baileychlore,Si
Baileychlore,O
Baileychlore,H
Bakhchisaraitsevite,Na
Bakhchisaraitsevite,Mg
Bakhchisaraitsevite,P
Bakhchisaraitsevite,O
Bakhchisaraitsevite,H
Baksanite,Bi
Baksanite,Te
Baksanite,S
Balangeroite,Mg
Balangeroite,Si
Balangeroite,O
Balangeroite,H
Balipholite,Li
Balipholite,Ba
Balipholite,Mg
Balipholite,Al
Balipholite,Si
Balipholite,O
Balipholite,H
Balkanite,Ag
Balkanite,Cu
Balkanite,Hg
Balkanite,S
Balyakinite,Cu
Balyakinite,Te
Balyakinite,O
Bambollaite,Cu
Bambollaite,Se
Bambollaite,Te
Banalsite,Na
Banalsite,Ba
Banalsite,Al
Banalsite,Si
Banalsite,O
Bandylite,Cu
Bandylite,B
Bandylite,O
Bandylite,H
Bandylite,Cl
Bannermanite,Na
Bannermanite,K
Bannermanite,V
Bannermanite,O
Baotite,Ba
Baotite,Ti
Baotite,Nb
Baotite,W
Baotite,O
Baotite,Si
Baotite,Cl
Bararite,N
Bararite,H
Bararite,Si
Bararite,F
Baratovite,K
Baratovite,Li
Baratovite,Ca
Baratovite,Ti
Baratovite,Si
Baratovite,O
Baratovite,F
Barberiite,N
Barberiite,H
Barberiite,B
Barberiite,F
Barbosalite,Fe
Barbosalite,P
Barbosalite,O
Barbosalite,H
Barentsite,Na
Barentsite,Al
Barentsite,C
Barentsite,O
Barentsite,H
Barentsite,F
Baricite,Mg
Baricite,Fe
Baricite,P
Baricite,O
Baricite,H
Bario-orthojoaquinite,Ba
Bario-orthojoaquinite,Fe
Bario-orthojoaquinite,Ti
Bario-orthojoaquinite,O
Bario-orthojoaquinite,Si
Bario-orthojoaquinite,H
Bariosincosite,Ba
Bariosincosite,V
Bariosincosite,O
Bariosincosite,P
Bariosincosite,H
Baryte,Ba
Baryte,S
Baryte,O
Bariopharmacosiderite,Ba
Bariopharmacosiderite,Fe
Bariopharmacosiderite,As
Bariopharmacosiderite,O
Bariopharmacosiderite,H
Barnesite,Na
Barnesite,V
Barnesite,O
Barnesite,H
Barrerite,Na
Barrerite,Al
Barrerite,Si
Barrerite,O
Barrerite,H
Barringerite,Fe
Barringerite,Ni
Barringerite,P
Barroisite,Na
Barroisite,Ca
Barroisite,Mg
Barroisite,Al
Barroisite,Si
Barroisite,O
Barroisite,H
Barstowite,Pb
Barstowite,C
Barstowite,O
Barstowite,Cl
Barstowite,H
