mineral_name,mineral_id,ima_chemistry,rruff_chemistry
Aqualite,915,"(H<sub>3</sub>O)<sub>8</sub>(Na,K,Sr)<sub>5</sub>Ca<sub>6</sub>Zr<sub>3</sub>Si<sub>26</sub>O<sub>66</sub>(OH)<sub>9</sub>Cl","(H_3_O)_8_(Na,K,Sr)_5_Ca_6_Zr^4+^_3_Si_26_O_66_(OH)_9_Cl"
Aragonite,916,Ca(CO<sub>3</sub>),CaCO_3_
Arakiite,917,ZnMn^2+^<sub>12</sub>Fe^3+^<sub>2</sub>(As^3+^O<sub>3</sub>)(As^5+^O<sub>4</sub>)<sub>2</sub>(OH)<sub>23</sub>,Zn^2+^Mn^2+^_12_Fe^3+^_2_(As^3+^O_3_)(As^5+^O_4_)_2_(OH)_23_
Aramayoite,918,"Ag<sub>3</sub>Sb<sub>2</sub>(Bi,Sb)S<sub>6</sub>","Ag_3_Sb_2_(Bi,Sb)S_6_"
Aravaipaite,919,Pb<sub>3</sub>AlF<sub>9</sub>·H<sub>2</sub>O,Pb_3_AlF_9_·H_2_O
Arcanite,920,K<sub>2</sub>(SO<sub>4</sub>),K_2_S^6+^O_4_
Archerite,921,H<sub>2</sub>K(PO<sub>4</sub>),H_2_KPO_4_
Arctite,922,(Na<sub>5</sub>Ca)Ca<sub>6</sub>Ba(PO<sub>4</sub>)<sub>6</sub>F<sub>3</sub>,(Na_5_Ca)Ca_6_Ba(PO_4_)_6_F_3_
Arcubisite,923,Ag<sub>6</sub>CuBiS<sub>4</sub>,Ag_6_CuBiS_4_
Ardaite,924,Pb<sub>17</sub>Sb<sub>15</sub>S<sub>35</sub>Cl<sub>9</sub>,Pb_17_Sb_15_S_35_Cl_9_
Ardealite,925,Ca<sub>2</sub>(PO<sub>3</sub>OH)(SO<sub>4</sub>)·4H<sub>2</sub>O,Ca_2_(PO_3_OH)(SO_4_)·4H_2_O
Ardennite-(As),926,Mn^2+^<sub>4</sub>Al<sub>4</sub>(AlMg)(AsO<sub>4</sub>)(SiO<sub>4</sub>)<sub>2</sub>(Si<sub>3</sub>O<sub>10</sub>)(OH)<sub>6</sub>,Mn^2+^_4_Al_4_(AlMg)(As^5+^O_4_)(SiO_4_)_2_(Si_3_O_10_)(OH)_6_
Arfvedsonite,927,NaNa<sub>2</sub>(Fe^2+^<sub>4</sub>Fe^3+^)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,NaNa_2_(Fe^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_
Argentojarosite,928,AgFe^3+^<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,Ag^1+^Fe^3+^_3_(S^6+^O_4_)_2_(OH)_6_
Argentopentlandite,929,"Ag(Fe,Ni)<sub>8</sub>S<sub>8</sub>","Ag(Fe,Ni)_8_S_8_"
Argentopyrite,930,AgFe<sub>2</sub>S<sub>3</sub>,Ag^1+^Fe_2_S^2-^_3_
Argentotennantite,931,"Ag<sub>6</sub>[Cu<sub>4</sub>(Fe,Zn)<sub>2</sub>]As<sub>4</sub>S<sub>13</sub>","Ag^1+^_6_Cu^1+^_4_(Fe^2+^,Zn^2+^)_2_As^3+^_4_S^2-^_13_"
Argutite,932,GeO<sub>2</sub>,GeO_2_
Argyrodite,933,Ag<sub>8</sub>GeS<sub>6</sub>,Ag_8_GeS_6_
Arhbarite,934,Cu<sub>2</sub>Mg(AsO<sub>4</sub>)(OH)<sub>3</sub>,Cu^2+^_2_MgAs^5+^O_4_(OH)_3_
Armalcolite,936,"(Mg,Fe^2+^)Ti<sub>2</sub>O<sub>5</sub>","(Mg,Fe^2+^)Ti^4+^_2_O_5_"
