mineral_name,element,element_redox_mineral
Guimaraesite,O,-2
Guimaraesite,H,1
Hydroxylborite,Mg,2
Hydroxylborite,B,NA
Hydroxylborite,O,-2
Hydroxylborite,H,1
Jadarite,Li,1
Jadarite,Na,1
Jadarite,B,NA
Jadarite,Si,4
Jadarite,O,-2
Jadarite,H,1
Maghrebite,Mg,2
Maghrebite,Al,NA
Maghrebite,As,5
Maghrebite,O,-2
Maghrebite,H,1
Nielsenite,Pd,NA
Nielsenite,Cu,NA
Pauflerite,V,4
Pauflerite,O,-2
Pauflerite,S,6
Numanoite,Ca,2
Numanoite,Cu,2
Numanoite,B,NA
Numanoite,O,-2
Numanoite,C,NA
Numanoite,H,1
Podlesnoite,Ca,2
Podlesnoite,Ba,2
Podlesnoite,C,NA
Podlesnoite,O,-2
Podlesnoite,F,-1
Sugakiite,Cu,NA
Sugakiite,Fe,NA
Sugakiite,Ni,NA
Sugakiite,S,NA
Uedaite-(Ce),Mn,2
Uedaite-(Ce),Ce,3
Uedaite-(Ce),Al,NA
Uedaite-(Ce),Fe,2
Uedaite-(Ce),Si,4
Uedaite-(Ce),O,-2
Uedaite-(Ce),H,1
Vavrinite,Ni,NA
Vavrinite,Sb,NA
Vavrinite,Te,NA
Hundholmenite-(Y),Y,NA
Hundholmenite-(Y),REE,NA
Hundholmenite-(Y),Ca,2
Hundholmenite-(Y),Na,1
Hundholmenite-(Y),Al,NA
Hundholmenite-(Y),Fe,3
Hundholmenite-(Y),As,3
Hundholmenite-(Y),As,5
Hundholmenite-(Y),Si,4
Hundholmenite-(Y),B,NA
Hundholmenite-(Y),O,-2
Hundholmenite-(Y),F,-1
Marrucciite,Hg,NA
Marrucciite,Pb,NA
Marrucciite,Sb,NA
Marrucciite,S,NA
Ferromerrillite,Ca,2
Ferromerrillite,Na,1
Ferromerrillite,Fe,2
Ferromerrillite,P,NA
Ferromerrillite,O,-2
Malyshevite,Pd,NA
Malyshevite,Cu,NA
Malyshevite,Bi,NA
Malyshevite,S,NA
Cloncurryite,Cu,2
Cloncurryite,V,4
Cloncurryite,O,-2
Cloncurryite,Al,NA
Cloncurryite,P,5
Cloncurryite,F,-1
Cloncurryite,H,1
Selenopolybasite,Cu,NA
Selenopolybasite,Ag,NA
Selenopolybasite,Sb,NA
Selenopolybasite,S,NA
Selenopolybasite,Se,NA
Marianoite,Na,1
Marianoite,Ca,2
Marianoite,Nb,5
Marianoite,Zr,4
Marianoite,Si,4
Marianoite,O,-2
Marianoite,F,-1
Zhangpeishanite,Ba,2
Zhangpeishanite,F,-1
Zhangpeishanite,Cl,-1
Dovyrenite,Ca,2
Dovyrenite,Zr,4
Dovyrenite,Si,4
Dovyrenite,O,-2
Dovyrenite,H,1
Olmiite,Ca,2
Olmiite,Mn,2
Olmiite,Si,4
Olmiite,O,-2
Olmiite,H,1
Parwanite,Na,1
Parwanite,Mg,2
Parwanite,Al,NA
Parwanite,P,NA
Parwanite,O,-2
Parwanite,C,NA
Parwanite,H,1
Meridianiite,Mg,2
Meridianiite,S,6
Meridianiite,O,-2
Meridianiite,H,1
Arsenovanmeersscheite,U,6
Arsenovanmeersscheite,U,6
Arsenovanmeersscheite,O,-2
Arsenovanmeersscheite,As,5
Arsenovanmeersscheite,H,1
Grandviewite,Cu,2
Grandviewite,Al,NA
Grandviewite,S,6
Grandviewite,O,-2
Grandviewite,H,1
Dualite,Na,1
Dualite,Ca,2
Dualite,Ce,NA
Dualite,Sr,2
Dualite,Mn,2
Dualite,Mn,2
Dualite,Fe,2
Dualite,Ti,4
Dualite,Ti,4
Dualite,Zr,4
Dualite,Si,4
Dualite,O,-2
Dualite,H,1
Dualite,Cl,-1
Montetrisaite,Cu,2
Montetrisaite,S,6
Montetrisaite,O,-2
Montetrisaite,H,1
Zincolivenite,Cu,2
Zincolivenite,Zn,2
Zincolivenite,As,5
Zincolivenite,O,-2
Zincolivenite,H,1
Pradetite,Co,2
Pradetite,Cu,2
Pradetite,As,5
Pradetite,As,5
Pradetite,O,-2
Pradetite,H,1
Pittongite,Na,1
Pittongite,H,1
Pittongite,O,-2
Pittongite,W,NA
Pittongite,Fe,3
Sreinite,Pb,NA
Sreinite,U,NA
Sreinite,O,-2
Sreinite,Bi,NA
Sreinite,P,NA
Sreinite,H,1
Batisivite,Ba,2
Batisivite,Ti,4
Batisivite,V,3
Batisivite,Cr,NA
Batisivite,Si,4
Batisivite,O,-2
Osakaite,Zn,2
Osakaite,S,6
Osakaite,O,-2
Osakaite,H,1
Jahnsite-(NaFeMg),Na,1
Jahnsite-(NaFeMg),Fe,3
Jahnsite-(NaFeMg),Fe,3
Jahnsite-(NaFeMg),Mg,2
Jahnsite-(NaFeMg),P,5
Jahnsite-(NaFeMg),O,-2
Jahnsite-(NaFeMg),H,1
Lakebogaite,Na,1
Lakebogaite,Ca,2
Lakebogaite,Fe,3
Lakebogaite,H,1
Lakebogaite,U,6
Lakebogaite,O,-2
Lakebogaite,P,NA
Niveolanite,Na,1
Niveolanite,Be,2
Niveolanite,C,NA
Niveolanite,O,-2
Niveolanite,H,1
Pattersonite,Pb,2
Pattersonite,Fe,3
Pattersonite,P,5
Pattersonite,O,-2
Pattersonite,H,1
Ferroskutterudite,Fe,NA
Ferroskutterudite,As,NA
Barahonaite-(Al),Ca,2
Barahonaite-(Al),Cu,2
Barahonaite-(Al),Na,1
Barahonaite-(Al),Fe,3
Barahonaite-(Al),Al,NA
Barahonaite-(Al),As,5
Barahonaite-(Al),O,-2
Barahonaite-(Al),H,1
Barahonaite-(Al),Cl,-1
Cassagnaite,Ca,2
Cassagnaite,Fe,3
Cassagnaite,V,3
Cassagnaite,O,-2
Cassagnaite,H,1
Cassagnaite,Si,4
Stibioclaudetite,As,3
Stibioclaudetite,Sb,3
Stibioclaudetite,O,-2
Bendadaite,Fe,2
Bendadaite,Fe,3
Bendadaite,As,5
Bendadaite,O,-2
Bendadaite,H,1
Birchite,Cd,2
Birchite,Cu,2
Birchite,P,5
Birchite,O,-2
Birchite,S,6
Birchite,H,1
Andrianovite,Na,1
Andrianovite,K,1
Andrianovite,Sr,2
Andrianovite,Ce,3
Andrianovite,Ca,2
Andrianovite,Mn,2
Andrianovite,Zr,4
Andrianovite,Nb,5
Andrianovite,Si,4
Andrianovite,O,-2
Andrianovite,H,1
Nielsbohrite,K,1
Nielsbohrite,U,6
Nielsbohrite,O,-2
Nielsbohrite,As,5
Nielsbohrite,H,1
Rogermitchellite,Na,1
Rogermitchellite,Sr,2
Rogermitchellite,Ba,2
Rogermitchellite,Zr,4
Rogermitchellite,Si,4
Rogermitchellite,B,NA
Rogermitchellite,O,-2
Rogermitchellite,H,1
Nioboaeschynite-(Y),Y,3
Nioboaeschynite-(Y),REE,NA
Nioboaeschynite-(Y),Ca,2
Nioboaeschynite-(Y),Th,4
Nioboaeschynite-(Y),Fe,3
Nioboaeschynite-(Y),Nb,5
Nioboaeschynite-(Y),Ti,4
Nioboaeschynite-(Y),Ta,5
Nioboaeschynite-(Y),O,-2
Nioboaeschynite-(Y),H,1
Chenguodaite,Ag,NA
Chenguodaite,Fe,NA
Chenguodaite,Te,NA
Chenguodaite,S,NA
Veselovskyite,Zn,2
Veselovskyite,Cu,2
Veselovskyite,As,5
Veselovskyite,As,5
Veselovskyite,O,-2
Veselovskyite,H,1
Nechelyustovite,Na,1
Nechelyustovite,Ba,2
Nechelyustovite,Ti,4
Nechelyustovite,Ti,4
Nechelyustovite,Nb,5
Nechelyustovite,Si,4
Nechelyustovite,O,-2
Nechelyustovite,H,1
Epidote-(Sr),Ca,2
Epidote-(Sr),Sr,2
Epidote-(Sr),Fe,3
Epidote-(Sr),Al,NA
Epidote-(Sr),Si,4
Epidote-(Sr),O,-2
Epidote-(Sr),H,1
Heftetjernite,Sc,3
Heftetjernite,Ta,5
Heftetjernite,O,-2
Ramanite-(Rb),Rb,1
Ramanite-(Rb),B,NA
Ramanite-(Rb),O,-2
Ramanite-(Rb),H,1
Ramanite-(Cs),Cs,1
Ramanite-(Cs),B,NA
Ramanite-(Cs),O,-2
Ramanite-(Cs),H,1
Daliranite,Pb,NA
Daliranite,Hg,NA
Daliranite,As,NA
Daliranite,S,NA
Munakataite,Pb,2
Munakataite,Cu,2
Munakataite,Se,4
Munakataite,O,-2
Munakataite,S,6
Munakataite,H,1
Santarosaite,Cu,2
Santarosaite,B,NA
Santarosaite,O,-2
Lakargiite,Ca,2
Lakargiite,Zr,4
Lakargiite,O,-2
Eirikite,K,1
Eirikite,Na,1
Eirikite,Be,2
Eirikite,Si,4
Eirikite,Al,NA
Eirikite,O,-2
Eirikite,F,-1
Tanohataite,Li,1
Tanohataite,Mn,2
Tanohataite,Si,4
Tanohataite,O,-2
Tanohataite,H,1
Xocolatlite,Ca,2
Xocolatlite,Mn,4
Xocolatlite,Te,6
Xocolatlite,O,-2
Xocolatlite,H,1
Voronkovite,Na,1
Voronkovite,Ca,2
Voronkovite,Ce,3
Voronkovite,Mn,2
Voronkovite,Fe,2
Voronkovite,Zr,4
Voronkovite,Si,4
Voronkovite,O,-2
Voronkovite,H,1
Voronkovite,Cl,-1
Meurigite-Na,Na,1
Meurigite-Na,H,1
Meurigite-Na,O,-2
Meurigite-Na,Fe,3
Meurigite-Na,P,NA
Magnesiopascoite,Ca,2
Magnesiopascoite,Mg,2
Magnesiopascoite,V,5
Magnesiopascoite,O,-2
Magnesiopascoite,H,1
Martyite,Zn,2
Martyite,V,5
Martyite,O,-2
Martyite,H,1
Allendeite,Sc,3
Allendeite,Zr,4
Allendeite,O,-2
Hexamolybdenum,Mo,NA
Hexamolybdenum,Ru,NA
Hexamolybdenum,Fe,NA
Hexamolybdenum,Ir,NA
Hexamolybdenum,Os,NA
Thermessaite,K,1
Thermessaite,Al,NA
Thermessaite,F,-1
Thermessaite,S,NA
Thermessaite,O,-2
Fluorcanasite,K,1
Fluorcanasite,Na,1
Fluorcanasite,Ca,2
Fluorcanasite,Si,4
Fluorcanasite,O,-2
Fluorcanasite,F,-1
Fluorcanasite,H,1
Monipite,Mo,NA
Monipite,Ni,NA
Monipite,P,NA
Qusongite,W,NA
Qusongite,C,NA
Yarlongite,Cr,NA
Yarlongite,Fe,NA
Yarlongite,Ni,NA
Yarlongite,C,NA
Zangboite,Ti,NA
Zangboite,Fe,NA
Zangboite,Si,4
Cupropearceite,Cu,NA
Cupropearceite,As,NA
Cupropearceite,S,NA
Cupropearceite,Ag,NA
Wakefieldite-(La),La,3
Wakefieldite-(La),V,5
Wakefieldite-(La),O,-2
Bussyite-(Ce),Na,1
Bussyite-(Ce),H,1
Bussyite-(Ce),O,-2
Bussyite-(Ce),Ce,3
Bussyite-(Ce),REE,NA
Bussyite-(Ce),Be,2
Bussyite-(Ce),Mn,2
Bussyite-(Ce),Si,4
Bussyite-(Ce),F,-1
Anorpiment,As,3
Anorpiment,S,-2
Ivanyukite-Na,Na,1
Ivanyukite-Na,Ti,4
Ivanyukite-Na,O,-2
Ivanyukite-Na,H,1
Ivanyukite-Na,Si,4
Ivanyukite-K,K,1
Ivanyukite-K,Ti,4
Ivanyukite-K,O,-2
Ivanyukite-K,H,1
Ivanyukite-K,Si,4
Ivanyukite-Cu,Cu,2
Ivanyukite-Cu,Ti,4
Ivanyukite-Cu,O,-2
Ivanyukite-Cu,H,1
Ivanyukite-Cu,Si,4
Colimaite,K,1
Colimaite,V,5
Colimaite,S,-2
Leucostaurite,Pb,2
Leucostaurite,B,NA
Leucostaurite,O,-2
Leucostaurite,Cl,-1
Leucostaurite,H,1
Kumdykolite,Na,1
Kumdykolite,Al,NA
Kumdykolite,Si,4
Kumdykolite,O,-2
Voloshinite,Rb,1
Voloshinite,Li,1
Voloshinite,Al,NA
Voloshinite,Si,4
Voloshinite,O,-2
Voloshinite,F,-1
Burgessite,Co,2
Burgessite,H,1
Burgessite,O,-2
Burgessite,As,5
Kunatite,Cu,2
Kunatite,Fe,3
Kunatite,P,5
Kunatite,O,-2
Kunatite,H,1
Pasavaite,Pd,NA
Pasavaite,Pb,NA
Pasavaite,Te,NA
Aluminocerite-(Ce),Ce,NA
Aluminocerite-(Ce),Ca,2
Aluminocerite-(Ce),Al,NA
Aluminocerite-(Ce),Si,4
Aluminocerite-(Ce),O,-2
Aluminocerite-(Ce),H,1
Burovaite-Ca,Na,1
Burovaite-Ca,K,1
Burovaite-Ca,Ca,2
Burovaite-Ca,Ti,4
Burovaite-Ca,Nb,5
Burovaite-Ca,Si,4
Burovaite-Ca,O,-2
Burovaite-Ca,H,1
Droninoite,Ni,2
Droninoite,Fe,3
Droninoite,Cl,-1
Droninoite,O,-2
Droninoite,H,1
Cupropolybasite,Cu,NA
Cupropolybasite,Sb,NA
Cupropolybasite,S,NA
Cupropolybasite,Ag,NA
Stronadelphite,Sr,2
Stronadelphite,P,NA
Stronadelphite,O,-2
Stronadelphite,F,-1
Ferrihollandite,Ba,2
Ferrihollandite,Mn,4
Ferrihollandite,Fe,3
Ferrihollandite,O,-2
Arsenoflorencite-(La),La,3
Arsenoflorencite-(La),Al,NA
Arsenoflorencite-(La),As,5
Arsenoflorencite-(La),O,-2
Arsenoflorencite-(La),H,1
Momoiite,Mn,2
Momoiite,V,3
Momoiite,Si,4
Momoiite,O,-2
Gunterblassite,K,1
Gunterblassite,Ca,2
Gunterblassite,Ba,2
Gunterblassite,Na,1
Gunterblassite,Fe,2
Gunterblassite,Si,4
Gunterblassite,Al,NA
Gunterblassite,O,-2
Gunterblassite,H,1
Ondrusite,Ca,2
Ondrusite,Cu,2
Ondrusite,As,5
Ondrusite,As,5
Ondrusite,O,-2
Ondrusite,H,1
Tazieffite,Pb,NA
Tazieffite,Cd,NA
Tazieffite,As,NA
Tazieffite,Bi,NA
Tazieffite,S,NA
Tazieffite,Cl,-1
Plimerite,Zn,2
Plimerite,Fe,3
Plimerite,P,NA
Plimerite,O,-2
Plimerite,H,1
Tistarite,Ti,3
Tistarite,O,-2
Kamarizaite,Fe,3
Kamarizaite,As,5
Kamarizaite,O,-2
Kamarizaite,H,1
Punkaruaivite,Li,1
Punkaruaivite,Ti,4
Punkaruaivite,O,-2
Punkaruaivite,H,1
Punkaruaivite,Si,4
Friedrichbeckeite,K,1
Friedrichbeckeite,Na,1
Friedrichbeckeite,Mg,2
Friedrichbeckeite,Be,2
Friedrichbeckeite,Si,4
Friedrichbeckeite,O,-2
Paulscherrerite,U,NA
Paulscherrerite,O,-2
Paulscherrerite,H,1
Alflarsenite,Na,1
Alflarsenite,Ca,2
Alflarsenite,Be,2
Alflarsenite,Si,4
Alflarsenite,O,-2
Alflarsenite,H,1
Plumbophyllite,Pb,NA
Plumbophyllite,Si,4
Plumbophyllite,O,-2
Plumbophyllite,H,1
Chibaite,Si,4
Chibaite,O,-2
Chibaite,C,NA
Chibaite,H,1
Pyracmonite,N,-3
Pyracmonite,H,1
Pyracmonite,Fe,3
Pyracmonite,S,6
Pyracmonite,O,-2
Davisite,Ca,2
Davisite,Sc,3
Davisite,Al,NA
Davisite,Si,4
Davisite,O,-2
Lapeyreite,Cu,2
Lapeyreite,O,-2
Lapeyreite,As,5
Lapeyreite,H,1
Guidottiite,Mn,2
Guidottiite,Fe,3
Guidottiite,Fe,3
Guidottiite,Si,4
Guidottiite,O,-2
Guidottiite,H,1
Ammineite,Cu,2
Ammineite,Cl,-1
Ammineite,N,-3
Ammineite,H,1
Yegorovite,Na,1
Yegorovite,Si,4
Yegorovite,O,-2
Yegorovite,H,1
Stetindite-(Ce),Ce,4
Stetindite-(Ce),Si,4
Stetindite-(Ce),O,-2
Florkeite,K,1
Florkeite,Ca,2
Florkeite,Na,1
Florkeite,Al,NA
Florkeite,Si,4
Florkeite,O,-2
Florkeite,H,1
Chegemite,Ca,2
Chegemite,Si,4
Chegemite,O,-2
Chegemite,H,1
Sardignaite,Bi,3
Sardignaite,Mo,6
Sardignaite,O,-2
Sardignaite,H,1
Kyanoxalite,Na,1
Kyanoxalite,Al,NA
Kyanoxalite,Si,4
Kyanoxalite,O,-2
Kyanoxalite,C,NA
Kyanoxalite,H,1
Oxyvanite,V,3
Oxyvanite,V,4
Oxyvanite,O,-2
Kumtyubeite,Ca,2
Kumtyubeite,Si,4
Kumtyubeite,O,-2
Kumtyubeite,F,-1
Nyholmite,Cd,2
Nyholmite,Zn,2
Nyholmite,As,5
Nyholmite,As,5
Nyholmite,O,-2
Nyholmite,H,1
Liversidgeite,Zn,2
Liversidgeite,P,5
Liversidgeite,O,-2
Liversidgeite,H,1
Alumoakermanite,Ca,2
Alumoakermanite,Na,1
Alumoakermanite,Al,NA
Alumoakermanite,Mg,2
Alumoakermanite,Fe,2
Alumoakermanite,Si,4
Alumoakermanite,O,-2
Metarauchite,Ni,2
Metarauchite,U,6
Metarauchite,O,-2
Metarauchite,As,5
Metarauchite,H,1
Nickeltalmessite,Ca,2
Nickeltalmessite,Ni,2
Nickeltalmessite,As,5
Nickeltalmessite,O,-2
Nickeltalmessite,H,1
Heklaite,K,1
Heklaite,Na,1
Heklaite,Si,4
Heklaite,F,-1
Cuproneyite,Cu,NA
Cuproneyite,Pb,NA
Cuproneyite,Bi,NA
Cuproneyite,S,NA
Groatite,Na,1
Groatite,Ca,2
Groatite,Mn,2
Groatite,P,NA
Groatite,O,-2
Groatite,H,1
Gayite,Na,1
Gayite,Mn,2
Gayite,Fe,3
Gayite,P,NA
Gayite,O,-2
Gayite,H,1
Adranosite,N,-3
Adranosite,H,1
Adranosite,Na,1
Adranosite,Al,NA
Adranosite,S,6
Adranosite,O,-2
Adranosite,Cl,-1
Dantopaite,Ag,NA
Dantopaite,Bi,NA
Dantopaite,S,NA
Kushiroite,Ca,2
Kushiroite,Al,NA
Kushiroite,Si,4
Kushiroite,O,-2
Cryptophyllite,K,1
Cryptophyllite,Ca,2
Cryptophyllite,Si,4
Cryptophyllite,O,-2
Cryptophyllite,H,1
Capranicaite,K,1
Capranicaite,Ca,2
Capranicaite,Na,1
Capranicaite,Al,NA
Capranicaite,B,NA
Capranicaite,Si,4
Capranicaite,O,-2
Shlykovite,K,1
Shlykovite,Ca,2
Shlykovite,Si,4
Shlykovite,O,-2
Shlykovite,H,1
Kolitschite,Pb,2
Kolitschite,Zn,2
Kolitschite,Fe,3
Kolitschite,As,5
Kolitschite,O,-2
Kolitschite,H,1
Manitobaite,Na,1
Manitobaite,Mn,2
Manitobaite,Al,NA
Manitobaite,P,NA
Manitobaite,O,-2
Miguelromeroite,Mn,2
Miguelromeroite,As,5
Miguelromeroite,As,5
Miguelromeroite,O,-2
Miguelromeroite,H,1
Fluorphosphohedyphane,Ca,2
Fluorphosphohedyphane,Pb,2
Fluorphosphohedyphane,P,NA
Fluorphosphohedyphane,O,-2
Fluorphosphohedyphane,F,-1
Lecoqite-(Y),Na,1
Lecoqite-(Y),Y,NA
Lecoqite-(Y),C,NA
Lecoqite-(Y),O,-2
Lecoqite-(Y),H,1
Ferro-fluoro-pedrizite,Na,1
Ferro-fluoro-pedrizite,Li,1
Ferro-fluoro-pedrizite,Fe,2
Ferro-fluoro-pedrizite,Al,NA
Ferro-fluoro-pedrizite,Si,4
Ferro-fluoro-pedrizite,O,-2
Ferro-fluoro-pedrizite,F,-1
Byzantievite,Ba,2
Byzantievite,Ca,2
Byzantievite,REE,NA
Byzantievite,Y,3
Byzantievite,Ti,4
Byzantievite,Nb,5
Byzantievite,Si,4
Byzantievite,O,-2
Byzantievite,P,5
Byzantievite,B,NA
Byzantievite,H,1
Byzantievite,F,-1
Lammerite-beta,Cu,2
Lammerite-beta,As,5
Lammerite-beta,O,-2
Fluorbritholite-(Y),Y,3
Fluorbritholite-(Y),Ca,2
Fluorbritholite-(Y),Si,4
Fluorbritholite-(Y),O,-2
Fluorbritholite-(Y),F,-1
Orlovite,K,1
Orlovite,Li,1
Orlovite,Ti,4
Orlovite,Si,4
Orlovite,O,-2
Orlovite,F,-1
Grossmanite,Ca,2
Grossmanite,Ti,3
Grossmanite,Al,NA
Grossmanite,Si,4
Grossmanite,O,-2
Aleksandrovite,K,1
Aleksandrovite,Ca,2
Aleksandrovite,Sn,4
Aleksandrovite,Li,1
Aleksandrovite,Si,4
Aleksandrovite,O,-2
Aleksandrovite,F,-1
Sejkoraite-(Y),Y,NA
Sejkoraite-(Y),U,NA
Sejkoraite-(Y),O,-2
Sejkoraite-(Y),S,NA
Sejkoraite-(Y),H,1
Magnesioneptunite,K,1
Magnesioneptunite,Na,1
Magnesioneptunite,Li,1
Magnesioneptunite,Mg,2
Magnesioneptunite,Ti,4
Magnesioneptunite,Si,4
Magnesioneptunite,O,-2
Devitoite,Ba,2
Devitoite,Fe,2
Devitoite,Fe,3
Devitoite,Si,4
Devitoite,O,-2
Devitoite,P,NA
Devitoite,C,NA
Devitoite,H,1
Camaraite,Ba,2
Camaraite,Na,1
Camaraite,Fe,2
Camaraite,Ti,4
Camaraite,Si,4
Camaraite,O,-2
Camaraite,H,1
Camaraite,F,-1
Fluoro-leakeite,Na,1
Fluoro-leakeite,Mg,2
Fluoro-leakeite,Al,NA
Fluoro-leakeite,Li,1
Fluoro-leakeite,Si,4
Fluoro-leakeite,O,-2
Fluoro-leakeite,F,-1
Arisite-(Ce),Na,1
Arisite-(Ce),Ce,NA
Arisite-(Ce),C,NA
Arisite-(Ce),O,-2
Arisite-(Ce),F,-1
Strontiofluorite,Sr,2
Strontiofluorite,F,-1
Polezhaevaite-(Ce),Na,1
Polezhaevaite-(Ce),Sr,2
Polezhaevaite-(Ce),Ce,NA
Polezhaevaite-(Ce),F,-1
Debattistiite,Ag,NA
Debattistiite,Hg,NA
Debattistiite,As,NA
Debattistiite,S,NA
Debattistiite,Te,NA
Yangzhumingite,K,1
Yangzhumingite,Mg,2
Yangzhumingite,Si,4
Yangzhumingite,O,-2
Yangzhumingite,F,-1
Huanzalaite,Mg,2
Huanzalaite,W,6
Huanzalaite,O,-2
Arisite-(La),Na,1
Arisite-(La),La,NA
Arisite-(La),C,NA
Arisite-(La),O,-2
Arisite-(La),F,-1
Peatite-(Y),Li,1
Peatite-(Y),Na,1
Peatite-(Y),Y,NA
Peatite-(Y),Ca,2
Peatite-(Y),H,1
Peatite-(Y),REE,NA
Peatite-(Y),P,NA
Peatite-(Y),O,-2
Peatite-(Y),C,NA
Peatite-(Y),F,-1
Ramikite-(Y),Li,1
Ramikite-(Y),Na,1
Ramikite-(Y),Ca,2
Ramikite-(Y),Y,NA
Ramikite-(Y),REE,NA
Ramikite-(Y),Zr,4
Ramikite-(Y),P,5
Ramikite-(Y),O,-2
Ramikite-(Y),C,4
Ramikite-(Y),H,1
Ramikite-(Y),F,-1
Thorneite,Pb,2
Thorneite,Te,6
Thorneite,O,-2
Thorneite,C,NA
Thorneite,Cl,-1
Thorneite,H,1
Housleyite,Pb,2
Housleyite,Cu,2
Housleyite,Te,6
Housleyite,O,-2
Housleyite,H,1
Paraershovite,Na,1
Paraershovite,K,1
Paraershovite,Fe,3
Paraershovite,Si,4
Paraershovite,O,-2
Paraershovite,H,1
Hibonite-(Fe),Fe,2
Hibonite-(Fe),Mg,2
Hibonite-(Fe),Al,NA
Hibonite-(Fe),O,-2
Carbobystrite,Na,1
Carbobystrite,Al,NA
Carbobystrite,Si,4
Carbobystrite,O,-2
Carbobystrite,C,NA
Carbobystrite,H,1
Kerimasite,Ca,2
Kerimasite,Zr,4
Kerimasite,Fe,3
Kerimasite,Si,4
Kerimasite,O,-2
Barioferrite,Ba,2
Barioferrite,Fe,3
Barioferrite,O,-2
Vorlanite,Ca,2
Vorlanite,U,6
Vorlanite,O,-2
Toturite,Ca,2
Toturite,Sn,4
Toturite,Fe,3
Toturite,Si,4
Toturite,O,-2
Ferro-ferri-obertiite,Na,1
Ferro-ferri-obertiite,Fe,2
Ferro-ferri-obertiite,Fe,3
Ferro-ferri-obertiite,Ti,4
Ferro-ferri-obertiite,Si,4
Ferro-ferri-obertiite,O,-2
Litochlebite,Ag,NA
Litochlebite,Pb,NA
Litochlebite,Bi,NA
Litochlebite,Se,NA
Auriacusite,Fe,3
Auriacusite,Cu,2
Auriacusite,As,5
Auriacusite,O,-2
Manganoeudialyte,Na,1
Manganoeudialyte,Ca,2
Manganoeudialyte,Mn,2
Manganoeudialyte,Zr,4
Manganoeudialyte,Si,4
Manganoeudialyte,O,-2
Manganoeudialyte,H,1
Manganoeudialyte,Cl,-1
Gelosaite,Bi,3
Gelosaite,Mo,6
Gelosaite,Mo,5
Gelosaite,O,-2
Gelosaite,H,1
Ammoniomagnesiovoltaite,N,-3
Ammoniomagnesiovoltaite,H,1
Ammoniomagnesiovoltaite,Mg,2
Ammoniomagnesiovoltaite,Fe,3
Ammoniomagnesiovoltaite,Al,NA
Ammoniomagnesiovoltaite,S,6
Ammoniomagnesiovoltaite,O,-2
Ellingsenite,Na,1
Ellingsenite,Ca,2
Ellingsenite,Si,4
Ellingsenite,O,-2
Ellingsenite,H,1
Hogarthite,Na,1
Hogarthite,K,1
Hogarthite,Ca,2
Hogarthite,Ti,4
Hogarthite,Si,4
Hogarthite,O,-2
Hogarthite,H,1
Telluroperite,Pb,2
Telluroperite,Te,4
Telluroperite,O,-2
Telluroperite,Cl,-1
Markcooperite,Pb,2
Markcooperite,U,6
Markcooperite,O,-2
Markcooperite,Te,6
Luinaite-(OH),Na,1
Luinaite-(OH),Fe,2
Luinaite-(OH),Mg,2
Luinaite-(OH),Al,NA
Luinaite-(OH),B,NA
Luinaite-(OH),O,-2
Luinaite-(OH),Si,4
Luinaite-(OH),H,1
Edwardsite,Cu,2
Edwardsite,Cd,2
Edwardsite,S,6
Edwardsite,O,-2
Edwardsite,H,1
Menzerite-(Y),Ca,2
Menzerite-(Y),Y,3
Menzerite-(Y),Mg,2
Menzerite-(Y),Si,4
Menzerite-(Y),O,-2
Elbrusite,Ca,2
Elbrusite,Zr,4
Elbrusite,U,6
Elbrusite,Fe,3
Elbrusite,O,-2
Bitikleite,Ca,2
Bitikleite,Sn,4
Bitikleite,Sb,5
Bitikleite,Al,NA
Bitikleite,O,-2
Usturite,Ca,2
Usturite,Zr,4
Usturite,Sb,5
Usturite,Fe,3
Usturite,O,-2
Eringaite,Ca,2
Eringaite,Sc,3
Eringaite,Si,4
Eringaite,O,-2
Chovanite,Pb,NA
Chovanite,Sb,NA
Chovanite,S,NA
Chovanite,O,-2
Kobokoboite,Al,NA
Kobokoboite,P,NA
Kobokoboite,O,-2
Kobokoboite,H,1
Dalnegroite,Tl,1
Dalnegroite,Pb,2
Dalnegroite,As,3
Dalnegroite,Sb,3
Dalnegroite,S,-2
Noonkanbahite,K,1
Noonkanbahite,Na,1
Noonkanbahite,Ba,2
Noonkanbahite,Ti,4
Noonkanbahite,Si,4
Noonkanbahite,O,-2
Pseudolyonsite,Cu,2
Pseudolyonsite,V,5
Pseudolyonsite,O,-2
Ottoite,Pb,2
Ottoite,Te,6
Ottoite,O,-2
Timroseite,Pb,2
Timroseite,Cu,2
Timroseite,Te,6
Timroseite,O,-2
Timroseite,H,1
Paratimroseite,Pb,2
Paratimroseite,Cu,2
Paratimroseite,Te,6
Paratimroseite,O,-2
Paratimroseite,H,1
Townendite,Na,1
Townendite,Zr,4
Townendite,Si,4
Townendite,O,-2
Fivegite,K,1
Fivegite,Ca,2
Fivegite,Al,NA
Fivegite,Si,4
Fivegite,O,-2
Fivegite,H,1
Fivegite,Cl,-1
Georgerobinsonite,Pb,2
Georgerobinsonite,Cr,6
Georgerobinsonite,O,-2
Georgerobinsonite,H,1
Georgerobinsonite,F,-1
Georgerobinsonite,Cl,-1
Oxyphlogopite,K,1
Oxyphlogopite,Mg,2
Oxyphlogopite,Ti,4
Oxyphlogopite,Fe,3
Oxyphlogopite,Fe,2
Oxyphlogopite,Si,4
Oxyphlogopite,Al,NA
