mineral_name,element,element_redox_mineral
Arfvedsonite,Fe,3
Arfvedsonite,Si,4
Arfvedsonite,O,-2
Arfvedsonite,H,1
Argentojarosite,Ag,1
Argentojarosite,Fe,3
Argentojarosite,S,6
Argentojarosite,O,-2
Argentojarosite,H,1
Argentopentlandite,Ag,NA
Argentopentlandite,Fe,NA
Argentopentlandite,Ni,NA
Argentopentlandite,S,NA
Argentopyrite,Ag,1
Argentopyrite,Fe,NA
Argentopyrite,S,-2
Argentotennantite,Ag,1
Argentotennantite,Cu,1
Argentotennantite,Fe,2
Argentotennantite,Zn,2
Argentotennantite,As,3
Argentotennantite,S,-2
Argutite,Ge,NA
Argutite,O,-2
Argyrodite,Ag,NA
Argyrodite,Ge,NA
Argyrodite,S,NA
Arhbarite,Cu,2
Arhbarite,Mg,2
Arhbarite,As,5
Arhbarite,O,-2
Arhbarite,H,1
Armalcolite,Mg,2
Armalcolite,Fe,2
Armalcolite,Ti,4
Armalcolite,O,-2
Armangite,Mn,2
Armangite,As,3
Armangite,O,-2
Armangite,H,1
Armangite,C,NA
Armenite,Ba,2
Armenite,Ca,2
Armenite,Al,NA
Armenite,Si,4
Armenite,O,-2
Armenite,H,1
Armstrongite,Ca,2
Armstrongite,Zr,4
Armstrongite,Si,4
Armstrongite,O,-2
Armstrongite,H,1
Arsenbrackebuschite,Pb,2
Arsenbrackebuschite,Fe,3
Arsenbrackebuschite,Zn,2
Arsenbrackebuschite,As,5
Arsenbrackebuschite,O,-2
Arsenbrackebuschite,H,1
Arsendescloizite,Pb,2
Arsendescloizite,Zn,2
Arsendescloizite,As,5
Arsendescloizite,O,-2
Arsendescloizite,H,1
Arsenic,As,NA
Arseniopleite,Ca,2
Arseniopleite,Na,1
Arseniopleite,Mn,2
Arseniopleite,Mn,2
Arseniopleite,Mg,2
Arseniopleite,Fe,NA
Arseniopleite,As,5
Arseniopleite,O,-2
Arseniosiderite,Ca,2
Arseniosiderite,Fe,3
Arseniosiderite,O,-2
Arseniosiderite,As,5
Arseniosiderite,H,1
Arsenoclasite,Mn,2
Arsenoclasite,As,5
Arsenoclasite,O,-2
Arsenoclasite,H,1
Arsenocrandallite,Ca,2
Arsenocrandallite,Al,NA
Arsenocrandallite,As,5
Arsenocrandallite,As,5
Arsenocrandallite,O,-2
Arsenocrandallite,H,1
Arsenoflorencite-(Ce),Ce,3
Arsenoflorencite-(Ce),Al,NA
Arsenoflorencite-(Ce),As,5
Arsenoflorencite-(Ce),O,-2
Arsenoflorencite-(Ce),H,1
Arsenogorceixite,Ba,2
Arsenogorceixite,Al,NA
Arsenogorceixite,As,5
Arsenogorceixite,As,5
Arsenogorceixite,O,-2
Arsenogorceixite,H,1
Arsenogoyazite,Sr,2
Arsenogoyazite,Al,NA
Arsenogoyazite,As,5
Arsenogoyazite,As,5
Arsenogoyazite,O,-2
Arsenogoyazite,H,1
Arsenohauchecornite,Ni,NA
Arsenohauchecornite,Bi,NA
Arsenohauchecornite,As,NA
Arsenohauchecornite,S,NA
Arsenolamprite,As,NA
Arsenolite,As,3
Arsenolite,O,-2
Arsenopalladinite,Pd,NA
Arsenopalladinite,As,NA
Arsenopyrite,Fe,3
Arsenopyrite,As,NA
Arsenopyrite,S,NA
Arsentsumebite,Pb,2
Arsentsumebite,Cu,2
Arsentsumebite,As,5
Arsentsumebite,O,-2
Arsentsumebite,S,NA
Arsentsumebite,H,1
Arsenuranospathite,Al,NA
Arsenuranospathite,U,6
Arsenuranospathite,O,-2
Arsenuranospathite,As,5
Arsenuranospathite,F,-1
Arsenuranospathite,H,1
Arsenuranylite,Ca,2
Arsenuranylite,U,6
Arsenuranylite,O,-2
Arsenuranylite,As,5
Arsenuranylite,H,1
Arthurite,Cu,2
Arthurite,Fe,3
Arthurite,As,5
Arthurite,O,-2
Arthurite,H,1
Artinite,Mg,2
Artinite,C,NA
Artinite,O,-2
Artinite,H,1
Artroeite,Pb,NA
Artroeite,Al,NA
Artroeite,F,-1
Artroeite,O,-2
Artroeite,H,1
Artsmithite,Hg,1
Artsmithite,Al,NA
Artsmithite,P,NA
Artsmithite,O,-2
Artsmithite,H,1
Asbecasite,Ca,2
Asbecasite,Ti,4
Asbecasite,As,3
Asbecasite,Be,2
Asbecasite,Si,4
Asbecasite,O,-2
Asbolane,Mn,4
Asbolane,O,-2
Asbolane,H,1
Asbolane,Co,3
Asbolane,Ni,2
Asbolane,Mg,2
Asbolane,Ca,2
Aschamalmite,Pb,NA
Aschamalmite,Bi,NA
Aschamalmite,S,NA
Ashburtonite,H,1
Ashburtonite,Cu,2
Ashburtonite,Pb,2
Ashburtonite,Si,4
Ashburtonite,O,-2
Ashburtonite,C,NA
Ashburtonite,Cl,-1
Ashcroftine-(Y),K,1
Ashcroftine-(Y),Na,1
Ashcroftine-(Y),Y,NA
Ashcroftine-(Y),Si,4
Ashcroftine-(Y),O,-2
Ashcroftine-(Y),H,1
Ashcroftine-(Y),C,NA
Ashoverite,Zn,2
Ashoverite,O,-2
Ashoverite,H,1
Asisite,Pb,NA
Asisite,Si,4
Asisite,O,-2
Asisite,Cl,-1
Aspidolite,Na,1
Aspidolite,Mg,2
Aspidolite,Si,4
Aspidolite,Al,NA
Aspidolite,O,-2
Aspidolite,H,1
Asselbornite,Pb,2
Asselbornite,U,6
Asselbornite,O,-2
Asselbornite,Bi,3
Asselbornite,As,5
Asselbornite,H,1
Astrocyanite-(Ce),Cu,2
Astrocyanite-(Ce),Ce,3
Astrocyanite-(Ce),U,6
Astrocyanite-(Ce),O,-2
Astrocyanite-(Ce),C,NA
Astrocyanite-(Ce),H,1
Astrophyllite,K,1
Astrophyllite,Na,1
Astrophyllite,Fe,2
Astrophyllite,Ti,4
Astrophyllite,Si,4
Astrophyllite,O,-2
Astrophyllite,H,1
Astrophyllite,F,-1
Atacamite,Cu,2
Atacamite,Cl,-1
Atacamite,O,-2
Atacamite,H,1
Atelestite,Bi,3
Atelestite,O,-2
Atelestite,As,5
Atelestite,H,1
Athabascaite,Cu,NA
Athabascaite,Se,NA
Atheneite,Pd,NA
Atheneite,As,NA
Atheneite,Hg,NA
Atlasovite,Cu,2
Atlasovite,Fe,3
Atlasovite,Bi,3
Atlasovite,O,-2
Atlasovite,S,NA
Atlasovite,K,1
Atlasovite,Cl,-1
Atokite,Pd,NA
Atokite,Sn,NA
Attakolite,Ca,2
Attakolite,Mn,2
Attakolite,Al,NA
Attakolite,H,1
Attakolite,Si,4
Attakolite,O,-2
Attakolite,P,NA
Aubertite,Cu,2
Aubertite,Al,NA
Aubertite,S,NA
Aubertite,O,-2
Aubertite,Cl,-1
Aubertite,H,1
Augelite,Al,NA
Augelite,P,NA
Augelite,O,-2
Augelite,H,1
Augite,Ca,2
Augite,Mg,2
Augite,Fe,2
Augite,Fe,3
Augite,Si,4
Augite,O,-2
Aurichalcite,Zn,2
Aurichalcite,Cu,NA
Aurichalcite,C,NA
Aurichalcite,O,-2
Aurichalcite,H,1
Auricupride,Cu,NA
Auricupride,Au,NA
Aurorite,Mn,2
Aurorite,Mn,4
Aurorite,Ag,1
Aurorite,Ca,2
Aurorite,O,-2
Aurorite,H,1
Aurostibite,Au,NA
Aurostibite,Sb,NA
Austinite,Ca,2
Austinite,Zn,2
Austinite,As,5
Austinite,O,-2
Austinite,H,1
Autunite,Ca,2
Autunite,U,NA
Autunite,O,-2
Autunite,P,NA
Autunite,H,1
Averievite,Cu,2
Averievite,Cu,2
Averievite,O,-2
Averievite,V,5
Averievite,Cl,-1
Avicennite,Tl,3
Avicennite,O,-2
Avogadrite,K,1
Avogadrite,B,NA
Avogadrite,F,-1
Awaruite,Ni,NA
Awaruite,Fe,NA
Azurite,Cu,2
Azurite,C,NA
Azurite,O,-2
Azurite,H,1
Babefphite,Ba,2
Babefphite,Be,2
Babefphite,P,NA
Babefphite,O,-2
Babefphite,F,-1
Babingtonite,Ca,2
Babingtonite,Fe,2
Babingtonite,Fe,3
Babingtonite,Si,4
Babingtonite,O,-2
Babingtonite,H,1
Babkinite,Pb,NA
Babkinite,Bi,NA
Babkinite,S,NA
Babkinite,Se,NA
Baddeleyite,Zr,4
Baddeleyite,O,-2
Bafertisite,Ba,2
Bafertisite,Fe,2
Bafertisite,Ti,4
Bafertisite,Si,4
Bafertisite,O,-2
Bafertisite,H,1
Bafertisite,F,-1
Baghdadite,Ca,2
Baghdadite,Zr,4
Baghdadite,Si,4
Baghdadite,O,-2
Bahianite,Al,NA
Bahianite,Sb,5
Bahianite,O,-2
Bahianite,H,1
Baileychlore,Zn,2
Baileychlore,Fe,NA
Baileychlore,Al,NA
Baileychlore,Mg,2
Baileychlore,Si,4
Baileychlore,O,-2
Baileychlore,H,1
Bakhchisaraitsevite,Na,1
Bakhchisaraitsevite,Mg,2
Bakhchisaraitsevite,P,NA
Bakhchisaraitsevite,O,-2
Bakhchisaraitsevite,H,1
Baksanite,Bi,NA
Baksanite,Te,NA
Baksanite,S,NA
Balangeroite,Mg,2
Balangeroite,Si,4
Balangeroite,O,-2
Balangeroite,H,1
Balipholite,Li,1
Balipholite,Ba,2
Balipholite,Mg,2
Balipholite,Al,NA
Balipholite,Si,4
Balipholite,O,-2
Balipholite,H,1
Balkanite,Ag,NA
Balkanite,Cu,NA
Balkanite,Hg,NA
Balkanite,S,NA
Balyakinite,Cu,2
Balyakinite,Te,4
Balyakinite,O,-2
Bambollaite,Cu,NA
Bambollaite,Se,NA
Bambollaite,Te,NA
Banalsite,Na,1
Banalsite,Ba,2
Banalsite,Al,NA
Banalsite,Si,4
Banalsite,O,-2
Bandylite,Cu,2
Bandylite,B,NA
Bandylite,O,-2
Bandylite,H,1
Bandylite,Cl,-1
Bannermanite,Na,1
Bannermanite,K,1
Bannermanite,V,4
Bannermanite,V,5
Bannermanite,O,-2
Baotite,Ba,2
Baotite,Ti,4
Baotite,Nb,5
Baotite,W,6
Baotite,O,-2
Baotite,Si,4
Baotite,Cl,-1
Bararite,N,-3
Bararite,H,1
Bararite,Si,4
Bararite,F,-1
Baratovite,K,1
Baratovite,Li,1
Baratovite,Ca,2
Baratovite,Ti,4
Baratovite,Si,4
Baratovite,O,-2
Baratovite,F,-1
Barberiite,N,-3
Barberiite,H,1
Barberiite,B,NA
Barberiite,F,-1
Barbosalite,Fe,2
Barbosalite,Fe,3
Barbosalite,P,NA
Barbosalite,O,-2
Barbosalite,H,1
Barentsite,Na,1
Barentsite,Al,NA
Barentsite,C,NA
Barentsite,O,-2
Barentsite,H,1
Barentsite,F,-1
Baricite,Mg,2
Baricite,Fe,NA
Baricite,P,NA
Baricite,O,-2
Baricite,H,1
Bario-orthojoaquinite,Ba,2
Bario-orthojoaquinite,Fe,2
Bario-orthojoaquinite,Ti,4
Bario-orthojoaquinite,O,-2
Bario-orthojoaquinite,Si,4
Bario-orthojoaquinite,H,1
Bariosincosite,Ba,2
Bariosincosite,V,4
Bariosincosite,O,-2
Bariosincosite,P,5
Bariosincosite,H,1
Baryte,Ba,2
Baryte,S,NA
Baryte,O,-2
Bariopharmacosiderite,Ba,2
Bariopharmacosiderite,Fe,3
Bariopharmacosiderite,As,5
Bariopharmacosiderite,O,-2
Bariopharmacosiderite,H,1
Barnesite,Na,1
Barnesite,V,5
Barnesite,O,-2
Barnesite,H,1
Barrerite,Na,1
Barrerite,Al,NA
Barrerite,Si,4
Barrerite,O,-2
Barrerite,H,1
Barringerite,Fe,NA
Barringerite,Ni,NA
Barringerite,P,NA
Barroisite,Na,1
Barroisite,Ca,2
Barroisite,Mg,2
Barroisite,Al,NA
Barroisite,Si,4
Barroisite,O,-2
Barroisite,H,1
Barstowite,Pb,NA
Barstowite,C,NA
Barstowite,O,-2
Barstowite,Cl,-1
Barstowite,H,1
Bartelkeite,Pb,2
Bartelkeite,Fe,2
Bartelkeite,Ge,NA
Bartelkeite,O,-2
Bartelkeite,H,1
Bartonite,K,1
Bartonite,Fe,NA
Bartonite,S,NA
Barylite,Ba,2
Barylite,Be,2
Barylite,Si,4
Barylite,O,-2
Barysilite,Pb,2
Barysilite,Mn,2
Barysilite,Si,4
Barysilite,O,-2
Barytocalcite,Ba,2
Barytocalcite,Ca,2
Barytocalcite,C,NA
Barytocalcite,O,-2
Barytolamprophyllite,Ba,2
Barytolamprophyllite,K,1
Barytolamprophyllite,Ti,4
Barytolamprophyllite,Ti,4
Barytolamprophyllite,Na,1
Barytolamprophyllite,Si,4
Barytolamprophyllite,O,-2
Barytolamprophyllite,H,1
Bassanite,Ca,2
Bassanite,S,NA
Bassanite,O,-2
Bassanite,H,1
Bassetite,Fe,2
Bassetite,U,6
Bassetite,O,-2
Bassetite,P,NA
Bassetite,H,1
Bastnasite-(La),La,NA
Bastnasite-(La),C,NA
Bastnasite-(La),O,-2
Bastnasite-(La),F,-1
Bastnasite-(Y),Y,NA
Bastnasite-(Y),C,NA
Bastnasite-(Y),O,-2
Bastnasite-(Y),F,-1
Batiferrite,Ba,2
Batiferrite,Ti,4
Batiferrite,Fe,3
Batiferrite,Fe,2
Batiferrite,O,-2
Batisite,Na,1
Batisite,Ba,2
Batisite,Ti,4
Batisite,Si,4
Batisite,O,-2
Baumhauerite,Pb,NA
Baumhauerite,As,NA
Baumhauerite,S,NA
Argentobaumhauerite,Ag,NA
Argentobaumhauerite,Pb,NA
Argentobaumhauerite,As,NA
Argentobaumhauerite,S,NA
Baumstarkite,Ag,NA
Baumstarkite,Sb,NA
Baumstarkite,S,NA
Bauranoite,Ba,2
Bauranoite,U,NA
Bauranoite,O,-2
